,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,536662.4329432672,535406.3423096515,532771.6415798654,536774.1403419718,532771.6415798654,512178.0734521291,510059.2823795166,507424.58164973045,512446.27039507014,507424.58164973045
1,2021_0,198027.70169031832,230705.98345717526,202131.5918040796,198654.10111650513,213844.61945640267,225188.36274973856,253339.35282496407,229167.66255104766,225814.76217592537,240762.3936462883
2,2026_0,116808.11540663929,92490.5962895422,134189.46712922028,117986.25401268009,131629.7840843866,135571.23121865853,105282.04516610155,148914.82441034485,133290.91147547867,140848.69612198457
3,2031_0,41112.73870052182,37879.54346375249,45637.689078557705,35177.03501608233,29876.855120507666,49563.8480677135,38773.51045998287,43371.4258408654,44374.092065279954,32622.6539170138
4,2036_0,138305.1584896611,200814.6853941942,137338.23222268766,144322.97893263708,155325.39956001047,159072.492134678,193443.87555511695,156614.130558159,163013.60929751047,168631.14316218585
5,2041_0,118173.58152996413,47618.109764127985,123785.7241735716,114329.6042174523,142291.8208440953,152340.03801478952,68342.75150279391,152957.56937762353,151661.09606540663,168431.9357773098
6,2016_1,536662.4329432672,484477.3882208917,523872.04365575535,535518.0497083561,526550.9395316617,512178.0734521291,459155.47111374745,501941.28322749794,510327.4793224576,516408.1612478236
7,2021_1,200752.5066922798,164141.40291973078,200529.84894736894,204729.79430989636,199418.53211856453,228006.54103872893,190615.85228344178,223986.06095588612,232382.33194427652,221910.10996185045
8,2026_1,118500.48016006744,109010.16528428555,109905.8530583811,115055.7547670905,109255.62047224582,133626.37687779072,125522.26756083456,118883.70803959644,130438.75345582192,126952.51712889635
9,2031_1,36055.3150911687,99444.57759489129,33767.072484874945,39306.75429861672,57162.846592266746,45634.81848189747,96967.73714000368,37521.75120594638,47984.940961942724,56460.99956974978
10,2036_1,139730.78318788516,111513.25859926548,125602.46678830739,140632.31304058566,171764.32072901385,160315.8509495685,131219.95835082146,143031.63594173652,160868.77645185628,174663.1823067646
11,2041_1,113885.73464993646,121693.595572353,104715.62952255688,112389.48260345013,110587.45581834795,147022.38454300538,136678.0769599259,147722.22445995858,144616.365432265,138558.9909255486
12,2016_2,532771.6415798654,507401.8491586874,532771.6415798654,532771.6415798654,532771.6415798654,507424.58164973045,498142.83570837195,507424.58164973045,507424.58164973045,507424.58164973045
13,2021_2,205277.77204516262,199787.45511348944,199961.3121988432,209835.34131069772,231285.50613884346,232713.77915502543,212565.69676920635,227244.87795863682,237518.8434333861,255799.0848682735
14,2026_2,119483.2993870555,62230.171706975816,131775.68540315423,116963.03060442404,114277.26106787467,135441.5667447384,66875.12155755874,146928.6189320705,132504.9294200361,122708.2644659921
15,2031_2,34811.52581101283,32281.062425568925,32228.193425202706,35673.966650041846,37389.70381564129,43681.73295554001,37882.22717686671,39883.00541268891,44804.387840671836,40630.93336594813
16,2036_2,138459.88466523893,84690.75741765025,132690.12723545337,140162.01126858563,127061.3388772574,160278.2553149392,93796.33134137739,148345.24096839994,158254.90903697832,141699.47847515045
17,2041_2,127789.34140298505,72455.76682931895,107492.59236193117,116401.49902716439,141409.34439793235,160796.64257271893,109156.96995023382,136791.97790612985,148670.42440669186,154923.56203774156
18,2016_3,532883.34897857,458397.24071429315,529297.3476601525,536662.4329432672,526550.9395316617,507692.7785926715,456296.61272748985,519311.0589205508,512178.0734521291,516408.1612478236
19,2021_3,203964.35606765322,145939.0576194042,197628.43289427157,201500.56145725862,199418.53211856453,231154.54854041795,156234.15868673028,220274.13246335412,228754.55261009227,221910.10996185045
20,2026_3,123482.42262145784,57514.542904308604,127147.53692526942,115315.54301529819,116728.24879396948,139215.2915125859,64777.290151398694,140504.1860674448,130672.74345059218,135263.279341234
21,2031_3,34307.394927265756,28725.259643711288,29967.43502294214,37284.23968686718,74575.2184554734,43162.31454608223,32983.74881178213,34713.323587591214,46649.97543699909,71552.09888597328
22,2036_3,137102.12464287892,75065.22073900638,129183.707354588,145653.16257143038,123261.12783206013,159664.82293167213,93976.06042186229,143104.57140809754,163100.03480871074,132095.53509557262
23,2041_3,119753.75365760365,61336.471674686276,110996.20038395148,112875.84389749852,108978.95133428017,152579.1491124211,98321.1671554409,136228.19338801331,150331.15167574142,132705.36819950744
24,2016_4,535406.3423096515,535406.3423096515,534027.732213481,535406.3423096515,522476.36054366804,510059.2823795166,510059.2823795166,509543.37272234296,510059.2823795166,514887.1813227106
25,2021_4,200341.4925797866,199715.0931535998,198273.92073556173,203066.29758174808,198962.41897374837,227531.68505255133,226905.28562636452,225527.95508201089,230349.8633415417,220640.21599012424
26,2026_4,120819.39255828701,150744.04605890706,114088.958011074,121887.65324263545,114011.4130176868,140010.7211220972,166533.7498256951,130415.57223092394,137441.7613886882,127588.38255387521
27,2031_4,39728.845937434875,85422.88112386501,50714.24008318495,36364.38320793975,47598.81733691699,44303.3905330965,92417.38773185626,58523.655481918344,45124.44153551302,44600.87880903568
28,2036_4,144682.0993094729,78584.04745829846,133224.47824628704,139348.2915159211,140013.80345813977,165352.31133317322,85931.3658313669,149331.2386243158,158752.56291054204,153011.91537259266
29,2041_4,110088.84671846993,117836.58618237256,108249.53202181403,115400.70519872717,142691.2021088012,142259.3430208332,121497.14374237353,140086.46325172667,148661.4048586786,160198.40844504646
