,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,351451.4862327036,344626.89758584433,340411.6564294276,352764.2316586155,340411.6564294276,364331.7744971779,360344.5120989631,356129.27094254625,365644.5199230898,356129.27094254625
1,2021_0,214976.36530910674,286993.4308606128,222114.66443587394,215927.49952109513,241960.93754439155,217241.10152980516,290503.3186687875,221190.86991776977,217912.51225811793,239414.6278744102
2,2026_0,218840.85524059896,178286.30490675857,246241.53214019322,218549.37065949707,242013.48716680967,212188.69743025978,169482.03532589105,241064.36709546775,214641.9444034525,239484.6032602535
3,2031_0,220007.15052121892,184362.4945617436,223664.3867841873,208365.48132274885,199955.1268921196,219260.95785985392,182897.26979508033,228186.76386218937,207148.33171297555,201767.7517671586
4,2036_0,210721.80935015721,333875.79428326973,217337.88863515935,219382.2024455717,248648.95707976609,213905.00715601014,323045.4771273532,220510.2466374828,220403.5301046532,247566.3304384777
5,2041_0,244024.56066413535,109749.57354763299,245631.185764796,238433.39903179725,268293.2672307707,249517.93923812135,100770.4131720902,244158.31381162678,246883.11961855547,254937.83012789968
6,2016_1,351451.4862327036,341529.0763363625,354895.9975128783,345939.64301175624,360429.7190539758,364331.7744971779,358059.68440386164,369872.78934020654,361657.257524875,373009.80341227143
7,2021_1,219063.57281204895,192659.62525293598,227847.9342487826,226492.28095321747,214816.1821246482,221328.30903274735,184042.95661884482,228318.50397938132,227026.05204820485,216982.18546089562
8,2026_1,218828.00537520475,188569.45034689162,203473.03115693716,213992.1020350939,206512.02047545742,214936.57725403504,193990.5710350532,203510.42845402684,210226.70724677877,202699.08634611292
9,2031_1,225535.2850679393,268908.73443249654,217617.34378415538,225335.20697380515,242979.0874348165,221986.85568850112,270237.2306006551,216695.43170523367,223023.72816572333,246091.79250263298
