,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,350877.11239830236,341346.79484953586,335551.0132664883,353390.89585142164,335551.0132664883,359811.99351825955,350729.1955758854,344933.41399283794,362325.77697137883,344933.41399283794
1,2021_0,216080.67289389466,324930.25287121243,223189.44060731734,217098.93118845706,249993.57001240377,215525.1141242035,323189.7639178032,222132.06542613954,216543.3724187659,249043.8001705647
2,2026_0,219703.36067074284,174626.97815007402,261370.8992724293,220218.50607168468,257142.85429904575,217066.39490210344,170543.19484108733,259677.67156955486,219799.04099167345,254634.9439858028
3,2031_0,220828.18176998245,184018.47942717164,230065.23067700674,206698.19825007196,201314.40893153087,224519.67131588844,184845.77141016943,228852.54115274263,208213.59224587018,198047.0912816428
4,2036_0,208783.80115821701,405858.56098939024,218867.95795536597,218733.9282339575,262966.96559610375,218111.30175557933,397068.6475125132,227289.18751704626,226524.70983331336,263316.21780364704
5,2041_0,249635.39200009484,109328.09367254822,257883.02701674,242282.07532542569,291667.13963296305,255310.60049377911,106882.01627592379,262870.0554861789,252197.45754796994,290043.52668201044
6,2016_1,350877.11239830236,365274.8694827843,370125.58562473336,343860.5783026551,368799.244158655,359811.99351825955,374691.7747207491,379937.69787674444,353242.97902900464,378786.8204037644
7,2021_1,221530.28289781758,194035.69730946864,239163.78613163956,231166.7234178699,215860.2197831016,220974.72412812646,190255.06215143704,238364.76499662496,230309.4877066574,215442.15983602114
8,2026_1,220517.79618423022,188380.46164104334,204088.01783118278,213969.69347986564,206022.03805231836,220413.3304132948,193713.12729915054,204378.15729027073,213615.64278571593,206792.89648254818
9,2031_1,223978.93648973072,304649.58558386954,219085.42013414824,225688.48425759046,253726.93040693912,225504.48763115404,302518.3825506004,217780.7219226665,227951.94303976645,255798.84921490986
10,2036_1,210301.00376487258,169598.45885981593,209118.76528777494,215159.9119422345,299291.2743541522,219428.76410000198,176637.01177797458,212999.55798774466,225303.4806409853,297477.7239931522
11,2041_1,240419.55409894953,251894.63426250237,222375.01819933273,231890.75772988918,212404.97555661935,246080.2857559093,251962.77764004955,229282.53190302508,238375.60960678276,214150.62293114464
12,2016_2,335551.0132664883,422768.82880007045,335551.0132664883,335551.0132664883,335551.0132664883,344933.41399283794,435212.9224093655,344933.41399283794,344933.41399283794,344933.41399283794
13,2021_2,229926.59906993713,284787.4881607143,233655.22687079973,241394.5604001858,291778.5892913666,229069.36335872466,289782.3155475139,232557.6388494316,240537.32468897334,290369.04045200587
14,2026_2,222429.1745745687,146646.07644098136,253165.28839274435,217719.99152240885,219286.5632416962,222815.31379420662,141423.8752054799,252389.3864352592,217674.27766287126,218714.79363705436
15,2031_2,205686.1944562897,142238.5623700765,218204.77826648369,222944.19746284874,232338.83146641953,206652.7539067836,147718.50579503848,218465.74351527568,223897.01923611804,230478.0112647179
16,2036_2,210352.35665162446,163164.07676695858,211559.13887449206,216945.8167748994,204971.42954760275,221547.43706992842,164028.61621619534,216865.70900017966,219957.78423786475,208350.56692470165
17,2041_2,265997.4680124719,176225.96341375844,220868.14183704703,240448.70233981736,286157.0287577509,273260.46552262694,183333.83039170245,227857.8046350239,250928.84957672836,289094.15756489633
18,2016_3,338064.7967196076,496294.5984936302,377108.8091948218,350877.11239830236,368799.244158655,347447.19744595716,501726.9549626279,387096.38543993107,359811.99351825955,378786.8204037644
19,2021_3,229207.79193364308,192988.97379900725,214616.10115298085,222791.85186996395,215860.2197831016,228150.41675246527,197201.39396399597,214198.0412059004,222236.31105899584,215442.15983602114
20,2026_3,231509.08754348493,127185.94984849977,247229.78188476973,214009.779527117,223817.99585267762,231042.07525763495,126811.88733927366,249845.08189714164,213895.38394690942,225588.22560097117
21,2031_3,209155.2453675283,123678.39602269232,205780.93006312256,211028.4887664016,307433.053390116,209623.04871610625,123275.19419187239,205506.10634396027,212609.48699897245,308926.11140999605
22,2036_3,209047.68038706694,142670.99816722196,208644.77577267282,223408.99781798184,199465.37007403557,217904.75852572703,147022.61621872734,212128.82648059414,231525.1910246505,198570.6812010676
23,2041_3,249496.06678053003,168460.39347996283,208966.2793744686,233492.71711815093,204904.99315161066,260661.8688117619,180065.34494443596,216136.61506781672,244608.437358044,205512.00071747898
24,2016_4,341346.79484953586,341346.79484953586,345081.3308152549,341346.79484953586,383631.3140171116,350729.1955758854,350729.1955758854,354016.2119352121,350729.1955758854,394461.6168826597
25,2021_4,221945.3219771966,220927.0636826342,228808.83608206018,227394.93198111953,214624.61413893683,220887.9467960188,219869.6885014564,228213.0644721787,226337.55679994173,214655.1821974784
26,2026_4,227977.40784004604,290818.69779016497,212620.93378321745,227543.58410592636,220300.2227587926,225237.85389214256,292478.1732304861,213674.35886757646,227331.24455630232,222134.40115758686
27,2031_4,210648.5683267911,274538.16297836194,248895.30147352666,220487.81792864838,233854.14153217187,213647.61195658406,281827.4499158728,255270.9141616892,221527.34144837878,231879.5959939735
28,2036_4,224040.4132045085,148847.2081291906,211792.41279493706,212446.57656293942,236108.33690662458,238374.90188834962,151855.76182232643,216794.37288151198,219715.8786442036,244533.17150988823
29,2041_4,228459.09571127102,257546.50487438485,222430.03255889547,240471.95589139176,273299.1001229337,235026.84439436463,225734.31424034407,228455.83858651554,251466.8310419588,257247.2730381475
30,2016_5,341346.79484953586,365274.8694827843,343860.5783026551,347595.1142683741,350383.0831249449,350729.1955758854,374691.7747207491,353242.97902900464,356529.99538833136,360608.21047173324
31,2021_5,220927.0636826342,189486.88675840225,244637.4140399012,224604.71182248753,263738.85424211534,219869.6885014564,185706.25160037068,243687.6441980621,224049.17101151936,262670.328069038
32,2026_5,215440.5477523218,190972.88087512887,213677.9183301724,221284.42448020197,215206.09312010458,213102.2213542204,193678.32852779134,210524.90528822914,220870.39353002832,215549.78164894026
33,2031_5,209207.37688559084,393444.3261949994,215508.68811886868,223893.3977377704,247705.89452598535,210778.3483999238,397870.9980294524,216335.66956659534,225403.48689729272,248876.74727484092
34,2036_5,236869.3127574005,137352.0877624902,318447.5284186486,210388.89321479754,232804.97223945303,239976.77964115966,139094.07829893669,313231.96551007463,218958.34132601204,228376.74129069602
35,2041_5,250834.69137814915,111757.85757836059,204832.07642200805,241125.71081366224,210065.74921737518,264184.6889754177,115416.25598302078,206468.0076574401,246580.04747792066,210232.90651295625
36,2016_6,341346.79484953586,405794.78483011975,345081.3308152549,343860.5783026551,368799.244158655,350729.1955758854,408165.4484161722,354016.2119352121,353242.97902900464,378786.8204037644
37,2021_6,233113.83214917692,226005.483612213,218343.0498185778,228682.4804398164,242664.349188188,232256.59643796447,230466.90309355152,217787.49104888664,227825.24472860392,242353.8945804463
38,2026_6,217183.25046134993,270518.6895122029,260196.4696445782,220154.40314564723,219589.95087929408,217073.60512328608,269858.12612352055,258454.32951401788,219735.0440979321,220545.4980172191
39,2031_6,204901.38785669836,113350.17436067617,207699.3831874861,220170.5310425557,204581.87457937998,205391.22674104074,111801.52034112028,208002.8077571578,220633.3351227055,204235.01430506815
40,2036_6,220488.21412894997,140776.51349616188,208781.39461480838,209703.78833442644,235020.99849319042,228500.5633400828,144441.13327899293,216418.75896456683,220000.43861794067,245833.86376109847
41,2041_6,232756.05567676175,139236.11534605199,349651.3769029219,250497.8035513616,323325.8128540332,243087.87241652652,149077.7964550624,327867.5703388138,257805.0616461891,299661.3320373918
42,2016_7,335551.0132664883,374805.1870315508,355293.5157662766,347595.1142683741,368799.244158655,344933.41399283794,383774.57266312325,364262.9013978492,356529.99538833136,378786.8204037644
43,2021_7,229926.59906993713,184640.4959696627,204614.304736969,221070.60347421526,250552.40795729705,229069.36335872466,181361.67722311782,204028.17778586067,220515.06266324714,248776.8670106935
44,2026_7,216026.36115708592,282472.6269637525,258285.60839443075,222379.5441476852,228492.9101899416,213706.7574623369,283124.8507275778,260243.1228343767,222188.9356800631,230118.28609019294
45,2031_7,207188.49914822623,251194.7881330204,203723.81415714583,229036.45028477785,202775.45576008162,210655.7994964965,257701.37488744027,200140.47928456386,231083.33908658245,204068.75223475313
46,2036_7,225317.31703254514,138089.0274569032,204004.4913298369,214122.08889311404,208045.0380039538,240153.27908675472,139805.30284849217,210176.7522877854,222452.8673837552,212774.86272441497
47,2041_7,230866.19525448378,116205.85086836916,223081.69623047425,230093.23227984554,274224.0676039024,237145.44573204403,122158.97550939703,226932.05383795776,237580.3744772897,261665.9149434387
48,2016_8,347595.1142683741,435518.64104641555,345081.3308152549,350877.11239830236,335551.0132664883,356529.99538833136,437923.8091440832,354016.2119352121,359811.99351825955,344933.41399283794
