,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,535737.0793061455,528937.9335219783,524722.6923655616,537049.8247320574,524722.6923655616,521458.06289362395,517443.69352625334,513228.4523698365,522770.8083195358,513228.4523698365
1,2021_0,199057.4962259931,260778.51385550652,206166.26393941574,200008.63043798145,224569.85201757113,214840.33117035133,273288.7453600082,218790.09955831594,215857.80372368393,237280.75101220855
2,2026_0,123643.29938387591,98255.38924441121,152467.10279979632,125827.26019451747,149737.69746049403,134941.744113232,102007.60078892436,161984.69892661902,137310.92006063668,159536.4747006236
3,2031_0,47629.32502329058,43253.84055447226,50052.261679064126,38626.58488798224,36038.34260865677,41671.54913559078,37455.896528063735,44765.924017869285,32396.737649772054,30290.70915816481
4,2036_0,131717.13222669467,273488.8850947,137841.9553375867,140284.27991909735,169660.64270362334,155758.67882755748,269847.08895943593,157076.49541648763,162273.45977251278,181745.3985363147
5,2041_0,153641.91599658597,52358.29441165927,154030.93048950206,147561.92033394185,180061.52876900928,192692.0410354252,76748.07414526009,188271.76418790483,189276.41322335214,207073.88965546506
6,2016_1,535737.0793061455,502793.5799541951,537309.0222267035,530250.6789478902,533589.5287044676,521458.06289362395,492077.82899923687,523808.4948549486,518756.4389521652,527324.9629055599
7,2021_1,203144.70372893527,173068.60884278663,209442.12669152062,210559.4746100411,200294.2049284426,218927.53867329351,184897.62240919523,226472.67455877422,224973.7427302758,215863.89752371522
8,2026_1,126141.28029396676,112549.83062470212,117365.8851837379,121200.81841439432,115234.55381503137,137703.06102019764,124614.50247638686,125929.51305092227,132730.375777683,123798.31359322474
9,2031_1,40356.96801440559,133079.63983686126,39714.48797987164,43972.002889842355,65766.11070411028,33714.19984827827,128043.54805018652,34529.97177007351,38999.01400637273,61933.773198322255
10,2036_1,132612.21068345892,108903.68033049973,128841.15348838562,135984.50609820016,196546.38070678854,156690.27469787913,126050.78968011486,146512.81417945726,159031.7175130321,201630.09581980086
11,2041_1,147432.93632695978,164328.7312890736,127943.4186267298,142563.41288710074,131188.71142767995,184721.58471932582,178135.94571653957,170305.46388358477,179566.9313708237,158023.36127535818
12,2016_2,524722.6923655616,541470.7953913643,524722.6923655616,524722.6923655616,524722.6923655616,513228.4523698365,540331.9164273357,513228.4523698365,513228.4523698365,513228.4523698365
13,2021_2,210007.5350891957,221860.06380171343,210675.0501377098,218226.16660159966,250057.77557237225,224355.4648680862,229820.34310086447,223491.83180592788,232640.43472183438,265439.4805327202
14,2026_2,127535.35461251625,68039.38275529278,147795.65287627914,123805.91142215047,124539.96959613991,139405.2260404161,70874.36797523845,159933.95031210844,135606.64757869943,133044.44477325818
15,2031_2,37887.13843460825,37205.74448467868,39039.89005118996,39480.48991817602,45928.17547536363,32387.231625808196,36236.118322373186,34761.546284740085,33717.29019890299,41109.94626337433
16,2036_2,133435.07804361853,86103.44595580528,131884.5423416173,133485.7548183737,128463.02341722525,157821.43639559203,101860.83664460531,147013.41855429742,155638.02338001964,144272.21124366202
17,2041_2,165689.78172842425,82398.97763607051,130880.73412908311,149584.22659779855,176542.8268753855,203341.78613246404,117089.41064235597,172615.01600111634,183926.80214321744,202224.14798949152
18,2016_3,526035.4377914733,535292.9012103415,539117.5152867963,535737.0793061455,533589.5287044676,514541.1977957485,534154.022246313,532852.9494878886,521458.06289362395,527324.9629055599
19,2021_3,210297.68794887754,160633.3862717659,198982.96221574786,204278.32094911166,200294.2049284426,222987.86190912194,166912.9145530714,214618.99315236468,220127.5170195543,215863.89752371522
20,2026_3,134295.15995147428,60429.74998572162,143694.2521939016,121230.88294983283,127160.67961670333,145554.77639827848,63408.06842193127,153124.14292317536,132762.60639182874,136322.11363622098
21,2031_3,37355.283009430066,36150.42861477182,35889.863305087536,41716.24996759423,101772.53538741288,31650.516050973587,30581.19969694242,30621.801781474347,35928.800615108834,97637.44391883964
22,2036_3,131302.6415715525,78533.74381033506,130716.43512004448,142185.76217007297,122300.32358099928,154507.60495687975,96962.0328485675,148559.4057317334,164445.6549911701,130501.11402471668
23,2041_3,155578.64260426286,76021.8595912355,127927.07393544089,144378.7499736323,124630.45297612812,192423.48308563646,114699.20384490103,160689.60114367,184451.35255707338,151237.02875963633
24,2016_4,528937.9335219783,528937.9335219783,531521.8381497288,528937.9335219783,538155.9287075785,517443.69352625334,517443.69352625334,517242.82173720724,517443.69352625334,531891.3629086709
25,2021_4,204855.021226721,203903.88701473264,205828.65934897025,208942.2287296632,199487.3027732566,217545.1951869654,216527.7226336328,221804.4403426464,221632.4026899076,215407.78437889906
26,2026_4,129843.591505267,175827.5863199137,120078.73554323804,131405.4143265461,125208.96792381836,140887.95009334406,186688.96353272523,132589.68563638342,142713.120859577,134420.01203929694
27,2031_4,41207.84914369476,113930.90886716974,65630.10612796758,40182.96927109836,58665.675357690416,36352.05933475226,115106.66144615841,62898.346596052674,34772.43983474954,53910.566757768866
28,2036_4,144500.73087890653,77647.01370626768,131933.52426345416,134542.7375825546,147709.32573023366,166300.15513097102,89109.46790348411,148532.3176524622,155279.68107251488,159802.61670173233
29,2041_4,139940.8063670268,159335.78299497315,133888.56059182706,149000.54925250568,176178.91667749977,178093.17823597134,160065.2645257197,166864.81305600906,184996.9467136739,194504.32940998228
30,2016_5,528937.9335219783,502793.5799541951,530250.6789478902,532834.5835756407,529289.0923686724,517443.69352625334,492077.82899923687,518756.4389521652,518555.5671631192,517794.8523729474
31,2021_5,203903.88701473264,169656.2157974666,219987.14080702342,205633.780168326,230847.28533903093,216527.7226336328,181485.2293638752,232698.03980166084,221482.9762387686,246492.7159340114
32,2026_5,120269.4947732555,112571.41678564616,119389.1470639055,126557.52207766565,125347.4331863447,132140.50482572409,124363.61061022268,131541.338229681,138041.1554334349,133111.55215489975
33,2031_5,43955.53282366359,222254.9598268649,46722.70152170415,40332.747020413764,60299.64050327541,37384.088694740785,221253.56784423193,41041.5115341716,33726.796222866855,57230.73310722566
34,2036_5,153964.6767630056,70757.88686368112,207571.42681942473,132054.5489115491,144969.46979864346,173889.01796892562,75645.07551333083,218426.68798883443,157630.6524059616,154078.27219916994
35,2041_5,154936.1580041466,47303.931839315344,117759.93012419494,147645.59525569252,117564.81089893039,191792.83120269794,67141.13685661626,154323.7468254288,184688.9744521287,155470.56089493228
36,2016_6,528937.9335219783,515642.3024540341,531521.8381497288,530250.6789478902,533589.5287044676,517443.69352625334,504148.062458309,517242.82173720724,518756.4389521652,527324.9629055599
37,2021_6,211832.36566745475,190502.13279605223,201319.8731506762,208696.29237650093,218697.79300659802,226180.29544634523,201796.00640747667,217102.70809503447,223110.56049673565,234354.54897760786
38,2026_6,123557.16704717324,137624.20015807214,153027.2358578468,125710.04242364304,124431.27427740107,135418.06625979792,145155.29377357304,164629.82749603695,137191.52164878414,133873.8894102256
39,2031_6,37079.30282161568,29474.12679795316,38655.95839920341,39986.02658838046,34209.2406969412,31650.516050973587,26472.382642264514,31679.593953982574,34575.049095242364,30154.778485426963
40,2036_6,140209.4621241709,93135.36317316258,130465.53778026093,132738.77557985066,149960.05820827605,162190.85876912283,108725.9192787758,151059.35493904908,156506.09488476434,165240.0090908929
41,2041_6,143011.89899851874,57452.70469026839,220906.370063073,154615.80715222287,208416.7166901785,185278.1102362583,86785.11799062458,244904.4400406289,188509.4821008027,222197.21283891745
42,2016_7,524722.6923655616,509592.72573836235,532742.6222235926,532834.5835756407,533589.5287044676,513228.4523698365,496092.1983666075,519242.0948518377,518555.5671631192,527324.9629055599
43,2021_7,210007.5350891957,164809.82500872706,188044.3596482468,203365.53839240436,223573.79901869505,224355.4648680862,179797.83790059373,203827.19459260502,219148.39612150274,238295.58233221085
44,2026_7,120930.43588077623,173287.50117231385,151563.7557332399,127350.78178043415,130722.02283329658,132585.04944994889,181472.1653185685,162085.56773449376,139183.53825591147,139769.07283353785
45,2031_7,41744.32746956625,123194.56686710194,34850.75409862947,44114.8850808077,33061.746681867204,37088.77490958686,123503.97424012548,30005.930481186104,38026.444022388925,29868.610946558245
46,2036_7,145412.89095286673,72030.7496212855,127029.99602819506,134040.6112517096,128771.87503459072,168403.83823527026,76656.78197628375,146376.46763783507,158063.60966265513,146499.9434804484
47,2041_7,143851.65004698842,46805.23592514391,126353.40966769354,142078.48761649829,175227.81377660466,179719.15238254433,68474.28643420778,166678.66852900034,179173.0821908452,200767.86537941993
48,2016_8,532834.5835756407,493713.1900426676,531521.8381497288,535737.0793061455,524722.6923655616,518555.5671631192,482997.43908770935,517242.82173720724,521458.06289362395,513228.4523698365
49,2021_8,201319.8731506762,146069.4177091412,201741.45184602807,204278.32094911166,206587.8426347676,217102.70809503447,159973.31444591,217717.23283970423,220127.5170195543,219404.6243029857
50,2026_8,121696.86926538325,79616.94921897748,126789.5146039516,121487.76088947349,150954.82940662466,133082.47273419471,90641.55203720195,138995.5816185285,133290.46269490774,161077.6312204856
51,2031_8,51382.306213966,34032.25532383346,65093.4791253594,44123.03540967911,68418.7159306923,46359.67079509878,32770.45375789665,62070.46246104034,38068.427610118495,65660.80555733632
52,2036_8,141159.91892760212,189662.7590453209,130229.5650893552,137499.565121852,124865.53907143405,163123.54301535367,200320.98703226176,144855.6214897714,159861.18219258403,136983.66761179935
53,2041_8,145062.79367912293,93344.6017469673,131417.6350400288,143454.68896299312,165475.24838325227,180621.69791100582,111259.70716354088,164392.97162699432,178973.66612552167,192192.20982650772
54,2016_9,524722.6923655616,540158.0499654523,524722.6923655616,532834.5835756407,529289.0923686724,513228.4523698365,539019.1710014237,513228.4523698365,518555.5671631192,517794.8523729474
55,2021_9,210253.47144235796,192624.10899635026,228701.2760270329,207314.47939367814,205359.36178422975,222877.30706125812,198552.8482672859,241478.51336301456,223163.65267938058,218333.98641349975
56,2026_9,120851.0475378681,94416.30902155185,124017.27317624743,123726.49780639044,150515.39110691135,132771.25319929494,98169.13657826609,136517.30799635258,135515.05159044094,160082.59732969495
57,2031_9,42595.59478810501,35281.66663915474,80716.1698958447,40614.22194937597,38722.895654883454,35821.63257163913,31734.513614669348,76431.65664582407,34117.7614184429,32890.5929815309
58,2036_9,145862.01403678246,174851.5149937056,126154.06988732314,133714.5358193308,194275.47738951852,171384.0049613014,184376.8939464495,141338.11480684573,155893.38668547058,201483.88989081464
59,2041_9,154712.67067410008,57652.21234156819,134273.68249245564,149682.60744963653,127781.57492652845,191667.25556765692,88243.6797352033,169173.85235878,183330.89555145308,163027.22893720414
60,2016_10,532834.5835756407,510905.4711642742,532834.5835756407,528937.9335219783,524722.6923655616,518555.5671631192,497404.94379251945,518555.5671631192,517443.69352625334,513228.4523698365
61,2021_10,205633.780168326,218464.30669285316,221534.55095242878,211832.36566745475,206587.8426347676,221482.9762387686,231563.00997267774,237470.78761386848,226180.29544634523,219404.6243029857
62,2026_10,120490.51539347557,90474.6376886717,118527.54343878027,122907.95143344067,177278.91689301876,132029.89315011405,94157.17503552613,130077.12655947915,135040.04138740464,187687.59501911473
63,2031_10,45091.14109334005,35369.06240969741,95962.07789723296,42482.73252769945,33191.18907536841,39578.307894889374,31933.354467362715,91202.28709565078,37120.52415347286,30005.930481186104
64,2036_10,134915.75790417366,110692.00098781324,123954.15606164315,135956.54137407456,123752.31137666173,158134.5105638689,130488.89996073802,136187.1351841573,156011.42113585,140599.57540110502
65,2041_10,152984.17924045643,176834.7846128862,119337.61317065015,149533.04308490432,112990.31890378849,192072.20749782192,203479.97677481698,155184.88151002553,183974.75400546056,153139.62547071624
66,2016_11,530250.6789478902,540158.0499654523,524722.6923655616,537049.8247320574,529289.0923686724,518756.4389521652,539019.1710014237,513228.4523698365,522770.8083195358,517794.8523729474
67,2021_11,209608.34039805274,185430.85313307578,206587.8426347676,200008.63043798145,230847.28533903093,223956.27017694316,193106.68176320122,219404.6243029857,215857.80372368393,246492.7159340114
68,2026_11,123618.22918150756,101684.07719651029,125882.60546925025,125827.26019451747,127049.69129633765,135479.12839413222,105153.92006862813,138359.93867956777,137310.92006063668,135670.284172947
