,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,533712.5979756812,529644.6239561131,527009.923226327,533824.3053743858,527009.923226327,507972.83371497033,503042.1592564055,500407.45852661936,508312.5010356089,500407.45852661936
1,2021_0,203935.7725776454,232815.00850234745,211198.66201686475,204562.1720038322,222574.31672903133,237107.5216520078,263176.10572018335,242244.30936062598,237022.11977968147,252871.3078947103
2,2026_0,115695.00192897671,99502.90586739335,134648.24365644736,116657.88267629032,130368.17669258869,116797.88927070223,90050.40192023589,133092.2252199227,118049.54137141039,128276.81836577668
3,2031_0,44243.014987588016,39867.53051876971,47623.466466233986,38287.61549941124,36038.34260865677,43838.28932365967,39071.166538624195,41986.17567267468,37377.4602879996,33382.677896611785
4,2036_0,131032.978926239,201234.07952352206,132855.10062082604,137312.9535129276,153974.60423034074,166266.95461986648,194871.44040261555,169850.0919521492,170327.62013277,183063.13736655068
5,2041_0,160085.792474847,53922.75826209217,148025.76604287565,156475.32390532532,168026.72757057223,200295.91539484565,82150.73386407552,182421.84915966316,199457.12138387252,174402.6612915457
6,2016_1,533712.5979756812,477252.8635463667,520505.73619325494,529756.3313548177,520721.62845173164,507972.83371497033,453170.96161668724,498685.12730069703,503381.8265770439,507299.56132081174
7,2021_1,206660.57757960688,175789.66064096664,205422.5681598858,211596.06811853862,205326.60300589158,239075.77968388252,201339.48083433678,233331.16765540012,244085.6305800656,234265.27899358852
8,2026_1,117172.10882367764,105478.33555566223,110697.80893847777,113638.34706582065,110951.6798519904,118110.23850420467,114333.31213456795,109392.65253940951,114886.18996833857,108530.11575931277
9,2031_1,39578.8591991198,100114.97953188013,38121.18136966977,41445.98610348735,57304.53937783908,38366.35487842335,96560.65870005263,36125.53317572854,41649.355987477764,53469.34209126122
10,2036_1,131923.17189324403,109047.79136174412,127535.24821859738,134469.73109996383,169747.4218607496,167171.25864582608,141295.63079574637,157212.1057686042,169756.27164863553,190436.75105160943
11,2041_1,155935.50596998268,126886.68650583104,136063.3116172083,151950.73516199487,138321.7786180508,195266.15731217773,153041.11313808168,175746.12994707876,194267.88207992085,148942.7588928739
12,2016_2,527009.923226327,505761.9634195585,527009.923226327,527009.923226327,527009.923226327,500407.45852661936,495972.1693973582,500407.45852661936,500407.45852661936,500407.45852661936
13,2021_2,212144.04585380486,196119.08215791374,209412.24036695683,216701.61511934,236326.00288121542,245737.09783681476,217859.02043119454,238385.0068689566,249236.2838681394,266858.1883811874
