,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2449537.777937282,2452083.52854524,2453852.5976297613,2456858.3114779103,2398363.7382944426,2414889.7511994634,2177254.786270926,2188878.392394928,2312071.8764820434,2321526.106033663,1097330.971097669,1102821.2313015186,855628.2511183823,1032713.7570871658,923025.2580692886,1107567.2863296587,1114454.6942111524,834720.9340404726,1026928.0057187686,920847.7323682129
1,2455931.1820367305,2459079.2177111795,2461199.091919234,2465818.829693921,2343571.015373895,2355082.993588288,2112829.5199269215,2143476.304168778,2286909.605071937,2297219.573942959,1121199.3113091139,1115623.4583602098,948825.6028510295,1062874.3538769425,995484.6471737095,1131958.0281048517,1129859.8034841928,924200.9864235948,1068122.2724150636,995164.9549705242
2,2451424.231271541,2456586.331681285,2463702.7946110773,2466668.2536977744,2368689.2956092902,2384393.8110833727,2018298.3674045433,2035912.2735291207,2299279.4471107903,2306628.5052949735,1100086.496682855,1123975.317081445,1025081.2472494317,1092264.8921126642,990812.3772819921,1108246.0223274366,1132178.3005228546,1020130.7054411217,1097476.7336627154,987628.4033724375
3,2447916.920515332,2453172.2757956674,2453534.5561862225,2458969.6889560455,2359284.7973373933,2371862.1412731246,1907088.7433918824,1929932.3128960407,2273218.9546218175,2279512.8377379277,1101459.7086691812,1105006.1221541632,1013240.2351866867,1072701.298299747,1026444.5002171899,1109278.145782018,1120299.1422343876,1017898.3534901389,1074964.6254761573,1029372.5733374605
4,2447159.683840758,2454363.9182631327,2462685.3658769554,2465929.1259759897,2360834.3779365923,2376606.6752831554,2158830.2692486346,2184756.3440914704,2277826.1601366177,2289220.978890796,1111545.4332046465,1115461.3775075225,907249.2305514453,1086605.9599928241,959510.1128891242,1125745.830773591,1124460.2592400694,899740.2718782068,1093996.3755884185,965513.3905028913
5,2448966.6653658506,2453701.250735673,2462661.758981255,2465013.441909807,2391562.8775846,2405961.399175177,2064281.7853441744,2084745.8806584724,2273735.046710327,2280284.1418361897,1099187.0111757903,1119326.2113396304,936077.8209099497,999537.6107666577,1009441.8562183827,1108157.1362022865,1130430.794107281,932711.818090229,1006683.6787923205,1010935.3194112637
6,2446759.296228526,2451912.7987848213,2462984.970007605,2465200.6897354107,2421216.7430759054,2434035.4078711346,1950479.4025648637,1976733.041242389,2298258.636626969,2307470.4110679226,1115517.4165345524,1107270.3825756006,1017765.2023152821,966610.5881761682,940642.2700021022,1126648.844294908,1115527.0404610634,1023548.4933870843,969438.3357700136,947292.8062891959
7,2441508.3250550944,2449069.8194772713,2460516.459314091,2465179.1214075345,2342457.439502051,2358372.965969686,2043146.8229492607,2062573.2419874086,2277936.572041633,2289240.977943186,1116305.656576151,1119731.9841802397,955804.1397555394,1071092.9410168475,992905.8050451202,1127634.702700949,1133335.6153906442,956613.873974579,1079916.340636602,997285.4881503298
8,2454591.6906324225,2460112.2224983443,2461317.3554550977,2466043.447374245,2365935.2494731066,2381552.5793850874,1981246.848610372,2008351.2979599154,2281469.8051863452,2287765.5314975535,1099756.4121656404,1123452.710138039,993251.8183714414,1093544.7441694904,978244.316976959,1114422.7114333282,1137417.4360574584,996054.0962405294,1100330.0809600807,980327.9104357637
9,2448421.47201756,2454984.3601331143,2459610.561052841,2462984.3079087166,2377867.9669934176,2392540.0917590535,2052636.7557352297,2064546.6899080467,2285791.723451077,2296660.6228611087,1106986.279612588,1124790.3401539417,947233.1246869995,1031529.3419086422,955062.6912796113,1115950.4683306206,1133038.4961375664,924024.2389885375,1031413.3188516182,960267.4429582272
10,2445408.350555567,2449955.3169146897,2462718.2399304444,2465829.825764021,2383634.2525346316,2397168.052960151,2075555.8404786407,2100551.022041299,2255468.4283956457,2261149.056845027,1102737.6440186065,1115218.190171555,983134.5229507622,1029809.3348366916,1054889.9928706847,1114179.4604710154,1123970.2941024422,956066.676600162,1034456.829553025,1052403.1916217597
11,2446106.149520766,2451383.1752536027,2452881.569083376,2457160.8923628507,2373157.105026621,2384565.60417355,2188357.7946203477,2216128.901034877,2286479.038559554,2296675.0609326935,1115565.425447053,1111198.9778784371,852484.2380196434,1048962.3111393994,966820.4409789703,1126538.1602988946,1123115.8279085716,829408.0893822087,1050389.1566668565,971754.8808469124
12,2446570.6062870193,2451351.6183924526,2460285.8930602614,2463702.899351182,2355478.135602994,2366596.2825722713,2181251.507903309,2197769.469201346,2277363.552268027,2283450.8268342153,1111002.3916237685,1117000.8434397276,891624.9895757601,1049514.3254829256,997559.5972615778,1121794.4518866395,1126593.101408747,865802.0191390511,1048931.9400015657,1001126.7523135849
13,2452905.154452025,2457155.1010790123,2456454.7011228716,2459695.6457349504,2381193.4985503973,2393395.99537535,2162905.88031809,2177020.741333631,2259336.803561442,2267756.0939845005,1103240.17578056,1113198.3123202983,857273.7406419913,1031606.8328181249,997180.0646485196,1117054.2546862871,1123227.432406992,852999.884560387,1032051.2263745158,1002633.4485441314
14,2448408.477445893,2456171.799192256,2455145.337230035,2458866.3265521023,2381355.3074381584,2399489.524065555,2095614.4462717494,2125109.6776809143,2305710.090573579,2314397.9819878438,1093386.3206272728,1098353.631068226,963005.9277893286,1079897.8219843553,955867.7040141362,1107944.0608673526,1111565.024796982,942499.6654389742,1089071.9190039344,952408.7168325585
15,2447442.6870609024,2453519.2933539953,2454319.5430861665,2458243.5226296633,2364135.6834198935,2378666.9018965266,2056382.1056471795,2076042.7044473253,2240958.029687401,2246184.4072376387,1117993.6016755854,1113957.072457687,940566.8116615468,1031155.4784303745,1047507.2883384798,1129148.601571505,1125949.6550902661,937461.1673632659,1035593.0195492981,1045096.4195356118
16,2456047.2222181084,2459506.2376481453,2462111.9475708725,2465527.7441634936,2343290.1314618243,2358213.095969193,2006668.7348768492,2022795.519370358,2264651.490472029,2275277.0228109187,1117695.8223080088,1124555.2392242113,968115.1909789845,1052436.495046665,1013647.9910993273,1127632.0967640998,1133572.013906703,965013.8954464019,1061262.0795982613,1019053.3994742212
17,2441379.1277193385,2446975.7735608476,2458269.1003175536,2461996.7962521897,2375075.4228427047,2391627.7672545584,2001409.2751325322,2016918.0574174346,2294764.829464168,2304599.4497239063,1113432.5655528277,1120079.6513641735,1000095.760450087,994609.470798998,955220.065756659,1125190.2509165867,1129068.4391698414,993637.200829195,1000841.4115059198,960602.7596179586
18,2451132.2406914774,2456500.5612026886,2452350.470692034,2456408.98307261,2364618.9796416964,2378109.3437513765,2057526.4155561093,2078567.7151520704,2267471.667406876,2276029.995130719,1108416.7539757204,1126318.0079993163,965800.4170096389,1059933.5292124667,1010621.2849103975,1123107.279185362,1138240.5151192974,962209.1597347105,1064992.6576536966,1007405.3279250343
19,2444251.171852788,2450462.1248262003,2462399.831401351,2466817.80770686,2419411.131162252,2436907.4067336028,2109687.8533748966,2133136.0542939994,2304678.9609361873,2311149.6827963907,1109017.0494356663,1121612.7910004628,904669.0807131436,970048.9590795302,968113.2607241371,1124353.375052574,1135947.584687589,901246.6442657403,966013.003765386,965270.0363132639
20,2448003.4461838426,2454030.5472346903,2460784.8186989175,2462260.6096932422,2363619.0513192,2374369.0995182516,2132506.279860397,2162829.8030837458,2253313.608857209,2260118.1188237835,1102311.317194063,1121538.4388245281,943619.0240160073,1057477.14278683,1032065.6533083526,1110696.8707160952,1131976.2605334064,919624.3902831051,1058288.3627307727,1033942.4309196945
21,2446281.0060276203,2451245.4031640003,2460852.980699361,2463234.792836455,2392650.777980576,2408789.3838217654,2184363.97139929,2202096.0317186033,2263899.774972163,2272682.8311616303,1111838.1915933706,1113383.913499277,958249.3349919461,1003680.2519820193,1022152.0726609739,1123037.3443555094,1125516.4445984608,944541.680953092,1012628.141939151,1026837.8481810176
22,2451700.197758457,2455289.8000769555,2463209.164149358,2466395.176495862,2400268.32817407,2416791.6370020034,2172791.365557106,2193581.909024083,2268054.362004672,2277089.713626544,1112525.8485634865,1128067.2550793951,952045.4062076745,1035289.4009727283,996413.148826553,1123523.382854373,1138723.846121327,946852.2122144931,1036203.2176282372,998556.089088466
23,2440786.794187469,2446443.428161079,2459791.5061799223,2463267.1494099116,2381309.3821320757,2395119.031797377,1966139.8320796636,1980447.2194118164,2270511.1311248112,2277292.175068999,1118138.6329611705,1116216.731344105,1021993.7537936817,1094420.4619355404,1022326.8873586905,1129947.4352711583,1125812.886960483,1015123.9901820378,1097105.2112815897,1025594.2553983678
24,2444276.729272408,2450375.18214516,2461118.6391314305,2465291.1642411724,2394327.91228965,2406401.432261842,1954128.5091384852,1968517.8951592692,2275226.6196987415,2282112.8482583985,1109395.1355003018,1121039.857229583,1018934.1298061195,985172.7475194439,976944.3242702447,1120186.8490759996,1134953.0523423522,1011521.797398172,981525.7402923476,977997.3507204514
25,2455641.668432099,2461420.991301881,2463503.4103463264,2466298.4064206816,2395730.034770253,2410560.363672193,2067820.7043123443,2084320.044080894,2294749.5166286267,2301581.641532907,1110517.1510962164,1122757.3563927102,909369.1635714043,1003681.2919424904,999625.8239674302,1119377.741017297,1130227.6285606558,907531.4291426315,1013036.4415433059,995735.9168041794
26,2451560.127328487,2456224.977774424,2465159.523463554,2468507.024020367,2389090.172101549,2399101.0105490396,2086364.9098680343,2118201.986159219,2293643.023963824,2304890.523477733,1111271.9370508182,1114864.661006994,947790.6302178439,1040038.9679252101,987401.6004318963,1119475.9808228442,1127889.6315443818,953105.5812852087,1032337.5571728538,987844.533976362
27,2449816.123144076,2455163.902634071,2457391.383756436,2460872.7520641964,2401999.2362974705,2419010.033395703,2158650.6113836635,2172697.074911966,2250819.7836897215,2256377.9514379827,1118393.1996138424,1113842.2039035584,831279.9760779383,1034832.683369178,1051391.3231693716,1129757.02821331,1123876.5357279326,807878.1597707428,1029722.4479430985,1049140.185531654
