,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2427843.719844733,2434848.5728958086,2433699.2496016147,2439190.0758302296,2345765.137812993,2353941.029899956,2031160.033444021,2029183.873597677,2235931.0624620663,2238619.2513738973,1088790.1330451067,1093082.0616149516,871553.2256206542,1015283.2310858505,913150.8642383269,1105963.5348132038,1113148.114841826,874765.2394764218,1027630.7350125398,927404.4573344232
1,2440155.0770718195,2447843.356586029,2444738.913407077,2451356.8059078353,2288990.362575773,2293332.864150741,1982340.851644038,1997895.9571316284,2211944.431741963,2214605.3158171033,1109174.8843221893,1105822.6009657583,937782.7210181091,1051926.7459164506,980569.1525650006,1127356.0204903649,1126678.3790068687,932338.6895463384,1065512.5569062086,991457.2226809483
2,2431974.0511092683,2441248.2588596763,2450040.493026896,2456649.791606726,2338854.610447806,2349739.2712795176,1917837.8937014393,1919931.6841346866,2226397.3429916757,2233326.728474524,1089136.0481248458,1109833.2589705638,1016367.7188919521,1085381.0371439094,984310.9065308452,1108309.6534864828,1129907.7569772922,1019942.4025278435,1104496.9398490738,993354.7703774748
3,2430749.486681504,2438232.7629515934,2436781.797408901,2442625.0921045016,2294812.0192477996,2299787.330626027,1774580.0667639032,1772120.0227135266,2195494.553148823,2202021.269432292,1090335.0972128678,1094983.0184853433,1009382.164599467,1071829.4201554665,1031052.1991662526,1109987.3254536646,1116819.1351242862,1011654.57498311,1083370.8265185244,1042239.3551670841
4,2435054.0950625665,2442332.9729123283,2448552.081586989,2453836.8446682184,2331531.952372135,2343059.5352967684,2043260.0655222388,2050288.0501991624,2179716.520284046,2183029.866485182,1102567.9003404332,1100112.644838367,924885.4795481242,1078850.410066863,953741.2391275435,1122410.8962181555,1122206.9028956797,914900.374878274,1094243.2495322593,963360.5809937139
5,2431998.2852105303,2439725.841069163,2446652.5539110433,2452362.4345788774,2325672.5835413956,2332715.809227026,1929815.3534650167,1933167.4609434027,2200746.5058633937,2205093.0856948504,1084161.8463327526,1109009.9811170301,938591.9603850669,992360.8542230129,1014043.8751383738,1104516.8635327076,1128385.379213124,936212.366623295,1006824.1222179992,1027086.9220920565
6,2429116.1709111687,2438327.87273737,2444251.584287587,2450914.2446106244,2342166.702770382,2353277.283291548,1831844.0756389126,1830391.3867574835,2205103.451752086,2210797.0890067904,1107546.7794035478,1090286.276617769,1030641.9496767197,969473.9104306116,936412.6409690583,1127583.7213907947,1110658.1109937192,1031726.9714009602,980614.5341842717,945922.7117091792
7,2433821.9597132867,2443425.397614902,2445149.310374736,2450380.165541362,2295701.4257077137,2305054.730821813,1902055.5014417956,1903213.6160806026,2200437.933532937,2202945.5213304427,1105056.2371826353,1109064.5315524868,970675.7582512831,1070079.9380869989,998602.4788631124,1125938.600566255,1129834.1747544,972375.0149127526,1087097.8509187002,1009000.173559802
8,2438195.9709650697,2445884.54942396,2446711.026140892,2452011.926269589,2337108.307164746,2349485.711422102,1846883.1258786512,1849899.1056720894,2213536.608148952,2218629.436331376,1086995.4051644113,1110615.222489753,985472.4781727825,1083903.3370491825,982032.3828227897,1105520.7263941157,1131671.1763173272,984459.6096911082,1099857.8075231223,993802.6170539202
9,2438361.763854262,2446277.5047901673,2445980.6413580654,2450746.888532745,2314718.628919934,2323559.686098741,1919546.4889558395,1917448.1114046825,2210040.493539904,2212192.73834748,1093048.720500001,1108023.6925333415,962857.0057822405,1022369.4513054208,952781.2473989659,1114370.9217385347,1128531.26130845,967376.2677315049,1038774.9457517357,965937.8808651681
10,2422203.8091275534,2430402.453439487,2446170.1977726845,2453070.1689815363,2322511.038271425,2330105.8619542895,1943587.3056270902,1956879.509498253,2205170.0599277387,2208422.13078476,1093632.8831166052,1100090.0985284823,972232.126756809,1035437.505360579,1062047.6404478364,1113805.950249262,1121693.4666264022,970188.7964672517,1047366.3040202096,1075590.2694716854
11,2427433.6896063904,2436540.349260944,2434273.911690796,2439883.9212873504,2318648.240653839,2329867.3281441,2043374.5575399993,2056570.207735682,2203337.144346632,2206304.7648299113,1107769.1948788785,1105648.56232313,851111.6965246631,1040069.2825346112,962813.8596294402,1127997.045250181,1126157.5551009143,845828.3844671905,1055940.5722416525,971827.4567248957
12,2429354.678204286,2436369.9411481135,2444960.090101428,2450186.8433334744,2293970.7339745485,2300078.1825020015,2058516.3301708803,2057590.6878708617,2211199.936671719,2216591.015131495,1105532.4883938814,1102357.8831471114,903653.2179689178,1049387.874004609,982174.6279113786,1123293.414227519,1123863.8644244152,903799.4047512413,1062159.0376058756,999013.0001473436
13,2435471.3193719946,2444027.310487629,2439119.2922449214,2444684.0315405866,2307243.141941174,2314973.7074749502,2027015.7857104305,2029561.9042368468,2181792.848061486,2187934.4862288116,1087496.1085117988,1107422.144857554,869868.9914341059,1034757.0353646995,991118.2187693974,1108621.1184876615,1125691.357683672,866306.3915471884,1049223.4188147169,1002493.402187306
