,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2611001.7232297175,2623736.835076197,2612972.348813923,2625556.8092191443,2560987.6153886034,2585862.5206162743,2307463.4537561554,2370440.7143528294,2431811.3813456874,2454428.026642282,1502356.0295785083,1506118.836058642,1196397.7778667684,1431600.608451628,1262538.1631420723,1556522.7854584616,1560447.8967834858,1161996.694183671,1470573.906338167,1302694.649493908
1,2606949.836876563,2620123.8702450274,2614646.0822291085,2623590.292605276,2498813.790825692,2523850.826629936,2231144.975202265,2299560.8762205304,2402518.093604897,2422229.519979935,1534085.7445730108,1531474.020888313,1305405.77697288,1466683.549997821,1344364.2238016152,1590957.8436749466,1578142.389619897,1289433.562584132,1516590.1558975615,1385727.1293296905
2,2619751.9328052737,2630208.818795215,2614569.806250495,2629946.1377568785,2522584.4504094403,2548244.382253413,2116607.8636583863,2189892.9098902387,2397884.2041353397,2433245.116361141,1503400.802707582,1529742.4363684105,1424870.5358041404,1500928.772627198,1349765.7252910708,1551465.3069912447,1586156.7239262771,1453186.064494448,1544768.4335043582,1390647.5738331731
3,2613644.554219978,2624044.2640029616,2614998.639602338,2623870.9388291556,2517293.683472464,2537764.068761496,2028589.6270800096,2100214.967847473,2378610.787905829,2401725.6445803633,1507096.0216520838,1509202.9904258803,1403238.1882030857,1483150.7496365218,1393990.846692812,1554434.2734288482,1555333.5131819153,1435053.786891071,1522536.095141564,1438662.6051229374
4,2613130.1087116413,2621597.584988752,2616623.0219215774,2626798.742264121,2523912.76871116,2547394.5248514703,2298604.5587578337,2368774.354448735,2403053.4675461706,2422134.7299772496,1522000.7817150336,1525338.813461166,1240312.2988134865,1489491.8146791107,1306507.231371445,1568613.163676582,1571959.7011767558,1260722.4032500163,1533816.837801811,1352479.9607022824
5,2620888.405950344,2634074.840491768,2610953.1565437405,2624582.234670773,2564604.517853895,2591812.3727010377,2184862.8665831853,2242238.1828715317,2376177.738459384,2403079.684199563,1488882.7405446076,1533712.0775655694,1281905.7837357079,1348346.5996590331,1371249.400685208,1540642.0274732516,1590867.5036871561,1290808.048256984,1412018.8551251048,1421807.1373556573
6,2607203.13716028,2617307.721029468,2616726.364240608,2628993.7008746723,2592601.261441091,2622891.8980876952,2104980.2577468874,2170374.924214716,2419134.69377546,2440915.356127298,1521912.5883895278,1511471.1912812218,1386316.5208745082,1321092.7539987266,1280567.0293178596,1569546.165499259,1563094.6795459904,1406666.4066078248,1376902.6254848156,1335439.6640861165
7,2611768.6763753174,2619386.0428878036,2612179.321898043,2622245.6411133874,2506303.9008322135,2531595.7734158747,2165229.79059246,2219014.39243332,2386329.601152408,2406354.9999169637,1522930.6673330395,1535387.2902082608,1308842.9188750372,1466769.897388677,1376143.4016435593,1566033.9413952155,1586452.9235604391,1306819.2549592506,1522715.741685654,1416489.2197560864
8,2613313.0725417472,2626553.6363844713,2613673.2147074565,2626020.0678802277,2525863.5839743903,2549888.765090295,2092760.6763169179,2161469.5059392527,2401642.9043513294,2423774.682354855,1505362.9388112365,1532006.301672437,1346597.970879156,1497105.7654568925,1346253.9751738787,1560872.4864061147,1587395.557027894,1381603.944013443,1537152.4363883561,1388335.1624136053
9,2616189.823342675,2625745.8988771914,2611751.3162510158,2626867.7612920143,2549326.475570875,2574172.762536589,2168662.0135685727,2228925.9096673513,2405333.6851946544,2425001.630546104,1505260.4546754556,1527322.5154287114,1357064.947796563,1400694.2834881742,1319786.5292543734,1550360.377676339,1585092.5043339746,1342962.0818834712,1452900.782192624,1364558.2332092423
10,2611620.4554371433,2625230.383401126,2616186.437844236,2630955.1096267486,2547811.222414679,2573634.9434499163,2185150.6107041948,2260684.5483071026,2354528.405715185,2376251.1548706824,1496734.8020722824,1516560.488507264,1358460.4018957259,1403239.4714872346,1460240.4874157156,1551244.9615185633,1570982.2035139336,1328413.1994971302,1456901.6468323146,1505764.85598281
11,2606857.4657730553,2616968.8145552315,2612153.115933979,2622223.7956496216,2543370.5018137805,2568784.105486317,2305209.178047797,2380287.985379353,2399864.785763533,2424702.5782273575,1522038.1698287677,1523750.0809252986,1196282.7562877575,1419612.8177637723,1336357.1494939947,1569665.7643087583,1572522.6323609946,1177344.77542208,1470865.7049107265,1380550.1027512227
12,2607597.6889598016,2617969.5857042447,2613901.834516627,2624358.448223843,2513250.7850999446,2537139.7498217793,2316730.410550831,2378060.473389645,2400331.62495183,2424882.801059255,1522292.1439968473,1527277.9419952498,1247493.0726025822,1458351.6400287698,1329795.4476369445,1573390.0498113888,1574283.8224417127,1239866.346724115,1509439.3461373774,1382853.833152533
13,2610390.18327886,2623717.76875385,2612586.899882918,2623491.414129167,2548776.341868082,2572348.918245387,2305587.6904713484,2374245.2035673433,2379799.041763162,2401082.3269898184,1503855.0891787773,1528044.515878535,1175340.6925328479,1406843.2593852014,1348394.2827626767,1559924.2090403803,1579248.8326823874,1165542.71001195,1459518.929815348,1402415.2365259351
14,2620208.873641386,2628378.0626057405,2616270.408839481,2628169.3416488143,2534808.683868616,2560041.6761969095,2214312.2390123233,2279939.205054496,2415889.5480422648,2437836.138650974,1495632.7825762553,1498239.463896352,1326593.0183494063,1483593.5003878658,1331789.0522489825,1541776.4801771855,1553924.4178502574,1300281.4762381397,1532916.8808798254,1365810.1423192048
15,2608664.3692397843,2618415.9196303636,2612595.597403095,2622488.3493600655,2539883.5938540464,2561043.883530142,2213342.7426852956,2281614.968989047,2341091.8488542098,2366806.3035551663,1534237.657261218,1525187.8806539213,1293141.5392570212,1418109.3910701387,1427780.1825379524,1583333.086602722,1573863.180086756,1296898.666461493,1462175.982595965,1477281.8546879021
16,2608093.668960902,2621887.975413181,2614012.6968523683,2622858.8346024007,2513996.825548898,2541647.5908206617,2094106.4723615134,2152299.0384906484,2377798.2077234513,2398988.094655633,1531400.6847500987,1538258.4279374422,1345859.8811834364,1445303.5219003435,1376562.8078666346,1588024.1034201647,1583772.0035073732,1356764.6074020632,1489910.4673710216,1428156.9683543087
17,2605212.9473748123,2614779.8196767867,2613407.919455315,2622176.363691906,2554646.012071857,2575510.533366518,2179540.45488414,2248876.390206551,2402228.2357980832,2429283.371780589,1516897.409182479,1529697.5689750435,1370002.416242353,1365353.777301069,1322060.0213564094,1563774.0497606841,1576760.8109172918,1370532.7688166357,1409301.9294493836,1367342.4719708574
18,2609283.468713697,2618943.6694669435,2608916.812431063,2617793.73262655,2530820.0636805464,2554100.0361793255,2167919.6164325913,2244651.9214282925,2384258.9765186454,2405919.5362313073,1520028.1832103957,1544432.6439750108,1331326.5374169892,1443491.9119623436,1371944.5660872196,1566190.239517702,1591895.701872486,1351402.8258663244,1500519.2887801628,1418352.691067871
19,2610308.0321286856,2620035.3371878313,2612720.98003289,2623155.9113105624,2589391.5952335107,2617947.2653291244,2268572.107694516,2329916.3469335996,2409091.645732847,2433877.500874473,1513883.7394988902,1539779.263788378,1228907.2672441443,1350347.0903842116,1328381.5416411546,1561298.954283932,1589825.5631270602,1251427.1757929553,1384916.8916296547,1367437.7145721817
20,2617939.5319718495,2630259.9604459573,2608598.176108475,2621676.3038424393,2515590.9018046767,2540496.0361842075,2241286.7664363496,2313821.5643285555,2367010.3544337405,2387682.780995529,1489379.4474334724,1533013.5175331905,1287882.921744021,1470045.3219040136,1392413.814968712,1541978.5825392285,1590777.9714341857,1282848.1939993214,1507668.5340238328,1442340.4927425398
21,2609520.5455478476,2623260.409217124,2611940.897228817,2625954.383983428,2558735.444636609,2586778.5146461083,2279238.2871194626,2348093.751095172,2376563.186313854,2396569.6096235504,1508153.1156203442,1519765.552072518,1366236.4450853039,1386630.3695280144,1398545.5466191212,1561026.998778287,1577042.5233590696,1359589.7940609278,1437853.5414585636,1447237.6446823918
22,2610757.4813509686,2624676.595577213,2612152.77514344,2622956.311195813,2555056.28266536,2578619.0259785512,2269193.612158889,2338201.2268004147,2381287.197643428,2403895.673469087,1515546.8083720193,1549415.7003485726,1293718.82164722,1432895.508440892,1353337.6528127627,1569490.725869314,1600538.00337015,1320214.8484445268,1465987.7029081485,1408445.243343738
23,2604172.116427033,2614295.496826917,2613639.9069784004,2625302.5666307993,2527662.1128135705,2552479.8994741826,2142708.55851831,2216168.780392836,2377534.550023796,2400228.553095864,1528191.920574148,1524320.8112955247,1397619.2778933446,1512937.5077199286,1397757.8416299066,1576159.3576895008,1574026.4468746334,1397413.6089270455,1555060.3391828174,1443501.3381931435
24,2609363.235107785,2621867.538597915,2612201.3299240917,2622196.839167499,2566679.864841348,2590189.327639669,2095615.835670074,2165364.757344108,2399433.4692585096,2423214.7222241843,1507121.9066686137,1538867.735344196,1405793.538339305,1344491.6932344977,1311262.2722118807,1561066.7543847128,1588727.9592147043,1409460.7346744696,1384162.1839149138,1361065.536990166
25,2617273.068719024,2630093.5606591683,2614949.476815615,2625336.2469385737,2556975.981095638,2581594.94903751,2190343.5130079444,2250407.539809065,2395188.71656369,2419831.7741388697,1514013.5866331325,1536827.4559607,1272822.5050079094,1394405.8485024313,1376318.8486871314,1566681.7264447394,1585737.2551016856,1284541.0010559042,1447870.2084839758,1415270.2140766182
26,2612703.4661438363,2626887.243309399,2615119.349704298,2626382.8666335996,2544482.206882959,2568390.939662942,2259923.3279859126,2331572.68908355,2403461.016659545,2430311.9911259804,1509991.783915202,1532628.2324364213,1300522.7609355436,1432341.9065521148,1345362.972624493,1563798.6572758004,1582504.0141418544,1326334.4362409248,1471327.5978190375,1387119.0019235953
