,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2626189.0449843123,2623543.2010795097,2627694.106993126,2623780.966399252,2594616.851184177,2597302.1329550934,2414840.217930026,2467116.1176594207,2482546.5319845937,2488510.466184027,1509098.6714892385,1511972.7636233938,1209192.8430717809,1431867.236808987,1256979.6230472003,1548138.0068270597,1552951.2677229135,1173575.4538206023,1459344.2055166645,1283450.900522078
1,2619969.7571351016,2618552.5492924587,2626245.506114044,2620673.8198909825,2535458.8268107264,2534513.9776100414,2328576.0175767276,2399231.5132150855,2446362.1656324947,2444091.9775058003,1539884.1566297465,1538171.0343518385,1286777.300556177,1473651.5825073281,1336199.8480683996,1582411.2119101177,1576540.7620660318,1295729.9787148782,1501927.7659993018,1363841.5066961076
2,2633963.6843556897,2632441.6117303525,2631736.881668808,2630914.44660314,2544398.7364711068,2546981.557375117,2204035.7546850992,2266190.456674779,2444069.569672156,2461083.7916318625,1506972.642354695,1532377.0194953256,1423749.6379193007,1507498.9750214044,1341949.7621551158,1547589.5293888985,1576174.2843202127,1440143.7623581043,1538168.3975034433,1369546.1689899007
3,2628017.672792015,2625906.6296015596,2627458.636174257,2622525.5833773823,2549670.8986687902,2546757.7785245273,2138540.8930702177,2204043.5637091696,2417806.4777973155,2417369.863644408,1512447.1827505673,1515410.8532777296,1400096.8361982084,1487276.7717220825,1390297.1935297512,1549871.4496569769,1554611.7808090593,1441145.3524188565,1515479.3089601665,1424010.2351185884
4,2620855.14868024,2618500.2834231462,2629688.49674377,2626440.0034987703,2548910.7675587167,2549803.2772292513,2390240.5814380925,2466180.416722076,2457715.2254980933,2452773.6585235,1530411.273151719,1529067.1659847347,1250745.1970715628,1489783.6430874106,1304589.978777347,1565787.561015103,1571483.1244833213,1245873.899941977,1524856.4064394385,1330006.5752201679
5,2635179.8146249885,2637467.478950791,2625634.5879638805,2622000.7943333793,2606767.08901567,2613302.7409664076,2278469.667760211,2347472.079480256,2415479.6827903446,2415954.4413829055,1493971.8254083348,1539904.3819786482,1283784.5936312152,1347654.772169467,1372595.3270993116,1533272.5772965536,1579834.3251442858,1291932.749114356,1391109.860555186,1397612.1331111486
6,2618020.830921303,2613907.4525210564,2631925.9377847784,2629767.373810045,2644670.336018118,2651300.6644422654,2197325.486904384,2274062.0110411537,2474845.1522378298,2477062.6194907585,1529588.0517271145,1516709.813207192,1366906.7228501244,1322202.8942339888,1279544.1875355945,1566636.9027307783,1555823.691755026,1418869.724861513,1355382.0613415642,1305060.0755957316
7,2616381.129647186,2614531.522535919,2625614.672264438,2620088.6619436503,2531131.858846704,2538635.077456808,2254369.41779118,2326265.6627790495,2425733.0493091075,2422344.1201575147,1530016.8420089625,1541810.6421182232,1304913.5991021863,1472784.7208185438,1384557.1354536288,1569384.95711613,1583896.0284484935,1319562.4034441386,1512260.3096024052,1405175.3970848308
8,2627888.465273277,2627206.282728457,2628242.2795345034,2625436.982427236,2550734.528137239,2551180.706273293,2208167.7050821567,2285972.596649683,2442402.2485488798,2440592.825341929,1512245.5376411122,1537108.6929015762,1324327.7630377216,1497608.889119844,1349316.295293319,1547901.030632137,1581703.32002797,1365239.8111760917,1529037.2619800502,1374963.8123740405
9,2625998.163736689,2625833.6251397426,2630161.515053467,2628987.4106061943,2584695.450531328,2591491.958629648,2271800.9497224865,2319276.245529554,2448654.3191602803,2446223.671441669,1509335.1516869697,1530177.0620979385,1370146.3993653432,1396878.1601015532,1321570.480617486,1548906.8591089912,1577399.263426031,1347984.5574549094,1438000.1280030203,1343058.5332677457
10,2628978.7150524547,2627241.713820158,2632863.2044891682,2632137.9345014254,2584031.9844720108,2588472.309604899,2285302.7222774355,2348569.1539722276,2376725.037616102,2378932.704846155,1503152.5518224153,1519458.4438228372,1347800.699801148,1403515.6195247404,1468081.6549699479,1545133.5648145962,1563123.2172094323,1337270.332301128,1441723.302645328,1494945.404559721
11,2618272.682470118,2613846.554629171,2624623.373574634,2619121.4092254555,2581959.0064768125,2583574.10372757,2420109.5586631205,2484442.043669501,2448123.4916618895,2441336.5850025667,1530018.560706705,1528259.1793658042,1191778.5997653466,1415429.3961261017,1340413.1109855408,1566463.7570454096,1570457.6576942792,1184427.1230345457,1451647.6016799936,1355590.7507617422
12,2619698.095652153,2615512.4396479814,2627891.5473818514,2624824.029654711,2547872.3652393473,2549487.3938136394,2411945.376328434,2470296.800183555,2440404.5852126796,2443518.174225794,1529911.8804363457,1530572.1051578468,1231049.6492442095,1464485.6445210995,1330272.7379093121,1568368.73728492,1574357.4107025396,1225938.0542707809,1498773.1668889078,1367171.0457318486
13,2625807.039926325,2623817.7454329054,2626621.284840781,2620142.969955136,2583830.5503621623,2585950.779501254,2410044.6768999314,2471702.2597996225,2431364.3083959054,2432753.0072742878,1511746.253453312,1535248.7725587462,1188662.7182128967,1408302.5689604229,1342718.6468802195,1552851.2909322947,1574681.9119837813,1164546.3859276962,1441978.7582740895,1371684.6152903105
14,2630163.463951468,2628047.089171088,2633051.752918715,2630367.517009358,2558587.1212216252,2560170.4215220204,2306797.125049171,2380805.836990908,2460460.7226670217,2458927.961997588,1503353.531005692,1505091.156687549,1302238.7193883245,1488041.252434033,1339850.800013804,1539580.3965563911,1544791.95532248,1316562.5230370958,1521632.0945129397,1356336.2537809268
15,2619651.55486567,2614503.89332504,2624593.277794995,2619607.6485619913,2580603.9542885367,2577401.1767402375,2311254.8287293105,2369974.571671175,2379476.36436012,2379879.4148095557,1541627.7061883877,1529198.9587663237,1285948.4378842765,1421968.8578638956,1428908.1561007558,1576528.830886111,1573831.1434271596,1286602.8737549295,1444585.7548008747,1455380.6448688065
16,2621277.831625604,2619596.476098572,2626317.5972120226,2623163.480298622,2551713.6141811307,2551656.7403422697,2198068.8804897205,2258726.0020752577,2417171.1396360667,2418293.2106536906,1538306.5358235154,1542546.289987418,1358858.6554468118,1449574.665178586,1377751.7136809062,1576956.2779083687,1583238.358666293,1361887.724826281,1476859.8371747327,1408329.6034986228
17,2615896.2957565896,2613168.9089443246,2626476.577004371,2622985.75948598,2599378.898049246,2602968.010009545,2267113.6009800965,2325405.43853063,2445914.8180922754,2442690.401388219,1522926.2876174583,1533142.3365535445,1368457.9904102322,1369310.1014641963,1328076.8433619407,1565279.8777206368,1578925.0656584003,1362358.1751316676,1398851.8313224553,1342393.5625192432
18,2620942.822040378,2617021.6050018067,2618384.6732853316,2613031.0639201095,2562701.880570382,2567194.9890617374,2267844.514986587,2345322.3451105505,2427191.435863752,2429041.4168493245,1527578.8013344596,1550798.5419423147,1313550.5921465338,1444725.4590572526,1362707.9870969222,1564229.1513458423,1589684.4892057052,1336307.5116919305,1483648.2122854516,1395162.7811294189
19,2622140.1086993413,2619375.6471292423,2625622.5573026743,2620968.515458504,2641363.6398403225,2635646.786837141,2362745.8711948018,2432780.272714651,2452171.5548957083,2458410.955434817,1519761.562081791,1545111.8294809996,1213953.9802410186,1354025.9213760102,1326408.2328733203,1561105.1689671935,1586237.7258482226,1232895.330931853,1373395.2836404222,1352440.379634177
20,2633924.1697663935,2635494.2228211593,2623382.8844374754,2618720.209052004,2547227.747748787,2543826.6093256287,2344734.487588672,2416759.4627009286,2409110.013125644,2409459.925511551,1493395.0928948054,1540951.7597432896,1264910.8708516331,1479055.3618900657,1392138.1750692236,1538063.1846701,1580739.323764563,1275787.7618717905,1499818.6432342133,1416569.195139067
21,2623473.490576595,2622723.712566591,2626633.7745995168,2623767.356623278,2594505.439167013,2595456.467684943,2352529.812154536,2391453.41893801,2411591.9893266703,2411254.811716756,1513567.891268403,1525798.0345122875,1387536.1013861827,1398291.9709485753,1397661.3268979376,1553124.9103803532,1568288.918260902,1368305.560784337,1424025.471957723,1423667.1543062036
22,2624903.9274930833,2622845.9478265904,2623845.045989056,2618595.872011883,2584042.399164391,2585421.2254510857,2346058.086680593,2418725.315503235,2419624.3391834623,2421322.499949487,1522415.4565734945,1554635.5606647795,1293240.4225818536,1440056.017129779,1357828.438765348,1560809.3311236165,1596408.952698433,1304629.407365375,1465341.060580188,1391749.193692925
