,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2611705.153497385,2613867.4758609906,2615012.301066445,2616790.3554087942,2542265.7135891505,2550540.123678035,2242993.3861988406,2254957.014166146,2405667.30258416,2408108.223634081,1396624.7714947558,1406015.590231875,1032140.3904985667,1294093.8192838859,1124321.3676669453,1395582.520774109,1404184.4618642274,1022183.3461543774,1285332.9449807175,1128061.7553309205
1,2618222.4473513826,2617461.0071305814,2626303.787317438,2627423.982062267,2474205.131160737,2481660.0738184946,2196982.061290506,2205811.542799855,2395714.2453182824,2393217.2411613036,1425496.3088847734,1422292.514176874,1132947.088595882,1350885.1196326409,1196222.1242249333,1421274.078947357,1414924.85249483,1133707.5169621292,1348771.6721076046,1201872.875581455
2,2615361.4561974853,2617177.8754309732,2630245.7194854887,2634193.1882680748,2507593.747892295,2515096.3513067532,2115127.833529462,2119430.4183195946,2383530.7020492638,2387815.599528435,1403050.2571771252,1421738.9017781878,1280226.9349356468,1383009.60611531,1197937.163444085,1398244.0717258982,1418281.9375508714,1274668.5996838657,1375479.5648652983,1205427.2337624049
3,2611813.532070554,2614836.643839157,2617610.3444060404,2619044.5388746634,2491916.7806482967,2495668.4890736146,2011871.3487794234,2011158.4613639154,2367720.979092611,2367685.3785116514,1401115.1101470583,1407420.3790542944,1293761.9978028098,1354751.5696762924,1250450.8300023186,1397610.001412255,1403925.9875130053,1276716.2500724874,1344143.150358229,1250713.1805242728
4,2612752.7301877458,2610503.808212051,2625570.2019791645,2628868.9158610306,2505897.3381432556,2513861.4652003753,2246771.8478949512,2259972.1567861605,2391415.0848734784,2387810.6803249484,1417544.5632010459,1418347.7298947475,1094460.0271444046,1365690.4233649396,1156563.466569831,1409229.3102115649,1413004.8529560764,1096371.7725047376,1361256.4202242822,1156194.9427286196
5,2615093.846277727,2617692.4331909753,2627930.8664522804,2628082.5745736947,2539159.282869297,2546931.7154206354,2133193.2151647476,2146666.477283585,2363709.160964842,2359565.5810291483,1391632.5389623253,1423177.9789438348,1127761.898326779,1237716.8277984073,1243130.24136524,1394171.2934373864,1418843.099736231,1126892.111596115,1230665.3383659446,1241523.639126327
6,2607082.843535389,2607325.618325924,2625219.0480152527,2629717.008792416,2557696.4661681186,2565509.548792169,2057682.9315483454,2061695.6023157504,2403008.1457000906,2402432.487833989,1420082.2115812025,1405284.7553985293,1256141.1963066568,1203901.8248772281,1142015.114343713,1411545.3085987966,1407067.1084015148,1239155.652558169,1202664.5493725773,1149843.1122024388
7,2607663.27360137,2606906.623453998,2628443.120943106,2627014.26466683,2473331.5921521615,2480360.7598128794,2102760.97531025,2114900.757304912,2370357.450959324,2362727.5198695296,1422072.8605483465,1426296.7542744211,1150372.485233412,1361793.1289595745,1248469.698547895,1414178.8600016532,1418693.1183612638,1148879.243548733,1359130.9747023038,1240457.6638433058
8,2618664.5938976384,2617909.1769824624,2629429.277194214,2630209.881678774,2510056.345661753,2519400.731867254,2068073.4304296526,2082927.492628726,2381178.003398365,2381242.9009883273,1402179.7282969377,1424976.5958372601,1215330.4614067054,1370856.7829396976,1218973.4570215705,1402444.3594044873,1421722.5630753841,1215328.3599934948,1367794.1703274315,1216088.2481204635
9,2613091.323083996,2611529.440459461,2627207.1622611973,2629391.76271756,2514648.792990286,2526586.1906514512,2146780.569366822,2151968.294050225,2389466.0919287577,2386751.670023256,1406096.5405643103,1422737.3931865543,1186979.4550435422,1274113.3962943524,1184779.637013369,1402987.854574522,1420392.7868473066,1180053.3146653033,1281798.3729386705,1180261.9647097366
