,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2587700.4553029714,2591977.9717248697,2591994.510925187,2596921.452512144,2478074.346142063,2486613.268613476,2052854.1550916664,2055312.6117456292,2301400.091048258,2300163.218070143,1396428.847358893,1406878.3994866756,1026714.2930161394,1291262.8515097643,1124248.9798691566,1387438.1928884613,1397112.9949269255,1024354.2240280719,1285209.0092424508,1126907.969093518
1,2597560.401515544,2602620.8331509065,2604607.8832174824,2613397.147638239,2412507.4554953305,2415469.989556064,2017204.741770066,2018656.8909639833,2308759.38390433,2306160.143402894,1422260.7636387765,1419896.8303657346,1134088.83586448,1348834.5819998677,1192242.563170174,1412370.4806616006,1408317.4609859742,1132358.6000639796,1341476.2466180557,1200554.0698712599
2,2589027.804431295,2595613.71162971,2606442.9995431886,2619719.1145140817,2474454.9332986465,2479944.6836219914,1983459.8098175898,1972703.0082036885,2287932.2526284484,2291596.792806549,1403071.8982967567,1418975.881399099,1278115.2379872792,1381422.1869424419,1197792.794447504,1392583.284404429,1414499.3705243384,1273543.6702862538,1370957.1912401868,1203600.1467881398
3,2584369.647939508,2594197.0750348493,2595015.81759156,2601095.240551197,2436566.861476631,2437697.485342351,1833990.5265275391,1826870.6189483954,2285621.4473502804,2288056.2071366576,1401926.6861502205,1405999.826234178,1290728.9179692199,1351075.7074559166,1249869.3682677664,1393614.3693306688,1396698.689826038,1274430.5376390917,1340327.5758360014,1252099.0797193148
4,2593170.8669615984,2598843.354966472,2603389.513831484,2614103.6384900277,2467732.101386609,2474749.6530720736,2079590.7148396387,2089124.101457329,2278763.6786358445,2279198.27440364,1413327.3093718125,1415876.9925691057,1088191.2843338503,1362966.5398058165,1155400.0527044202,1403642.9422803244,1405984.0287224029,1099122.0265364028,1358053.5082694304,1155740.8197809898
5,2588899.2349649332,2596159.4834343437,2606172.177191023,2613239.7337959884,2468311.0336161875,2471894.491216549,1947419.5056596007,1955896.2517512247,2283231.2941326415,2277619.8461349304,1390291.0722170249,1422261.4318987615,1120806.816699762,1237677.064840911,1242225.004057945,1391871.773187595,1412131.8592278291,1126499.4126948845,1229386.8845236248,1240011.7398873025
6,2586409.9783177488,2592062.998202583,2601746.7360139326,2612519.7424962446,2471351.4306870024,2472043.1444405536,1883692.4275448495,1886316.9156840593,2296267.536591475,2294092.4613602413,1419097.9582479484,1404335.5431842767,1252007.9427540044,1203360.6744584052,1141975.8228622659,1406180.5107002258,1401014.3373238402,1241515.3079016418,1202579.1496977196,1147092.6133447124
7,2592590.8142619487,2599365.5007103207,2605291.1726872227,2612222.7462658174,2426934.6933684438,2430261.8333522845,1916112.1693240518,1922046.690054147,2286060.129417071,2279075.9127266426,1417881.5320823053,1423917.5158451498,1143264.2273173728,1358805.1041809665,1248647.1849950037,1407504.8569550195,1412331.0079113701,1150647.109148327,1356780.5235153022,1238408.0988979724
8,2595397.0458662994,2600781.67823016,2606858.502266359,2614900.8752601612,2471732.7055314407,2479459.5275332304,1874263.867891933,1877708.9405004617,2290005.986829019,2292754.940541472,1399748.3837085243,1421725.154493956,1215234.5605723157,1368780.7089612337,1218463.9764823865,1395164.5274884657,1416547.847397956,1214787.332543299,1364291.6270713485,1218399.844427398
9,2592772.238306625,2597808.183817261,2601568.048602158,2612480.470260973,2452202.6944587003,2463208.665903452,1978104.3199311318,1979176.5201025314,2292858.126596373,2292475.6984064747,1404297.7755869285,1420102.675744142,1181859.3692157462,1274035.1761950497,1183624.767268346,1398083.4578783128,1416223.6423550013,1181703.6331101924,1283496.0449490047,1181652.2248240034
