,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2648009.591225622,2650769.1577418917,2649898.8112887274,2652496.7429261,2582065.5189619604,2585121.257922494,2288650.6657221355,2294994.7836024202,2438304.7452377714,2444782.44727079,1609246.0183978127,1613873.187394022,1164900.812221234,1496754.4807780045,1317623.2507854316,1601610.751303673,1605662.8312282355,1160308.4390988683,1488237.4344444463,1307044.2907104243
1,2645006.553037621,2644887.189450921,2649977.683677783,2651962.0936225783,2517397.1652438818,2518661.3834816488,2226939.6988526476,2228123.8914601225,2412426.8735056133,2420269.7725745905,1642981.32214038,1639844.6868222414,1281756.956023378,1552886.1218978919,1397174.2824344148,1632658.5896316387,1628731.7133483528,1272271.0505596802,1545022.4526524597,1395046.3109465619
2,2652872.0481423074,2657813.9110036925,2651940.4130670642,2656199.462507749,2534998.782535204,2537017.7192838243,2116858.5106132105,2111027.2247829787,2413904.8068118435,2420072.4570593634,1611861.3771728699,1640947.1269907102,1461526.5419014145,1597194.241939125,1402056.8477083514,1605263.6173895253,1632563.2940039749,1448104.3988121143,1587764.0264923235,1395022.7047529928
3,2646351.068233591,2651638.3539860435,2649455.124726171,2653448.682806158,2540362.991860671,2540315.3895312576,2024497.4970100368,2017307.8839851345,2386414.7881909683,2395405.5484931055,1614082.7566712531,1614688.0275460337,1450105.5572557878,1557580.0189101016,1458859.1465450777,1612239.0520752924,1610089.8409765486,1434257.9803115702,1542320.5286371734,1450292.043224073
4,2648447.43004586,2647483.7555598286,2650982.641100622,2654778.233283183,2536845.3597896835,2541238.060836419,2293003.391175257,2296525.357505913,2417621.2836454688,2423439.5524041234,1630087.972458955,1635785.7307622686,1242785.4976920483,1579308.5524845251,1360829.0359208107,1622155.1406657957,1626306.2903048103,1234040.6918725458,1570467.675633222,1351999.647815902
5,2655212.259566415,2659247.7623108197,2648986.920161159,2649764.485549546,2587651.1042552534,2588528.8825472267,2181187.981477841,2183251.009991778,2387993.743981032,2392188.872051398,1595276.7265397562,1642500.4126829081,1272740.2607674024,1433673.6705035334,1442529.009497592,1593777.234294824,1632165.5485191573,1261373.2510992528,1416011.25804456,1430466.8484967884
6,2644909.7490219274,2646851.496483171,2651698.465593669,2655347.892894418,2605898.9750878694,2606254.8000702513,2088018.4764833967,2086378.2853203788,2432869.2888050843,2439118.924337892,1627358.9356268547,1621135.054204834,1412004.287441827,1399142.5705126792,1336306.8142158438,1619346.0640771987,1616678.4262258478,1397582.9212581397,1385875.6174572562,1331721.4322204515
7,2647576.9150802516,2647134.5347119984,2647593.927291606,2649458.2098049973,2523491.111690744,2522866.5194058726,2155299.6467264006,2157238.535687548,2396943.313415504,2401596.110111451,1631653.784866256,1646104.7007274067,1299598.0905151372,1559132.0660874406,1446487.0269785158,1619135.3515768233,1635261.95889898,1289446.9464556032,1542928.319970124,1440387.3774830003
8,2650791.2884126483,2650876.0753344577,2649953.7037210893,2652299.419062711,2536109.1681154063,2541095.2960323747,2079287.7533221547,2082484.850415769,2407085.0381803545,2416180.9916501655,1613949.6249721416,1643981.4466175165,1353086.847995566,1582801.4228021598,1410951.294541126,1606896.763117874,1633932.6501532306,1343201.6309547445,1578481.7597146612,1406268.3458784684
9,2649967.926910653,2653203.3687493983,2648294.7378661097,2652418.9199603475,2565592.0381048955,2571668.052644132,2164113.3622724917,2159457.0142658353,2415444.2128935186,2421565.456162519,1611370.0560773339,1641071.114388909,1345790.825049759,1479112.623478077,1378181.461651405,1608770.749542214,1632732.9810171803,1341508.7238856768,1474458.6370787066,1372772.939160228
10,2650141.2133256663,2653632.330661781,2653213.681669017,2657427.4183414355,2565757.6485499977,2568743.2010994377,2184943.9094796167,2185789.8694669353,2363345.384171786,2365654.4571316605,1602189.857484079,1629200.9603535424,1333806.4644049269,1485311.0760432,1535789.2845013558,1595800.8525165156,1620677.0011233767,1332154.2966290612,1469830.9440456536,1523789.1602154109
11,2644260.931422215,2646208.724171512,2647768.2549386197,2650319.9428310236,2561680.0776111274,2566967.8521483336,2299240.5270419656,2296388.5721807973,2415940.1674415627,2421952.744906486,1627599.2964991475,1631885.4254949754,1195286.6903205747,1485582.9521814256,1390185.8566841732,1619612.8834132676,1618453.4052561026,1187142.6808198849,1479392.127765889,1387323.066604387
12,2643195.68781578,2645286.8257792913,2647682.9605425675,2651507.9629448354,2530138.3796319896,2532620.8289536824,2300208.147156925,2300613.742873489,2398162.4786897525,2406323.428798644,1629697.7771638173,1638122.3261968198,1208337.9005505913,1543990.8939406818,1399303.6830337904,1621858.6809154688,1628092.0456548198,1201951.005798129,1531768.967725756,1400313.3540379244
13,2648050.909986969,2650112.7239160766,2649874.9063631054,2652769.5930551137,2569723.990526269,2572888.7892548274,2295452.533155823,2301184.1943321396,2392525.6995023536,2397832.56032198,1614059.8175638628,1637431.7936309907,1170783.221030157,1479091.0186391436,1402073.4113217888,1608397.3814767112,1625101.0968759505,1166437.1111310823,1469544.3134811795,1396378.984506641
14,2653460.9232213395,2655124.632734376,2651985.9304619227,2655698.6320603164,2547421.907573983,2550723.9842349924,2203328.2658062913,2204282.894542373,2428441.4212867524,2436105.0431819204,1602567.075198623,1607398.4527503063,1303071.2693709442,1582987.5166413067,1387680.0504863837,1598153.0054859405,1604421.1865651282,1294753.6972100881,1569850.5420482876,1383601.7459194418
15,2645869.880770348,2646646.462399465,2648746.809845434,2651263.605448569,2558440.0412989054,2563296.4085349813,2198733.867259818,2201038.9470596737,2356115.5062736627,2357143.807073214,1640687.869476612,1633283.8690054552,1302651.6789075222,1479329.8342507351,1499039.0539064265,1627078.300660265,1619934.246239775,1293885.9067333913,1476008.79633178,1484061.7543496946
16,2646887.8253630158,2646484.599962677,2645987.7768361685,2649641.061843622,2531337.436619711,2536611.9203389254,2098650.1692299745,2097694.2366464967,2386047.143667454,2394632.0693409187,1639887.6462630022,1646955.9127011362,1356336.5692068178,1527204.7282719424,1440994.2732441651,1629805.812766175,1641700.4335578498,1349216.543775289,1523326.6785235647,1431296.1669121427
17,2642944.0201945743,2644282.2130591236,2646753.8793295342,2650234.7624186086,2568248.5504921856,2571739.6539690588,2165723.6624028753,2165543.104787022,2417727.61345003,2425427.4174542604,1621766.8288680823,1641583.7472713285,1376461.7536403495,1446442.0198483479,1379153.8179417967,1613224.3047524227,1632206.9108730468,1366001.3216721378,1442111.5170954342,1376165.4619478558
18,2643987.978431631,2646147.302406465,2645698.2432537926,2645344.569597648,2548528.1676830095,2548620.078271686,2165929.4995820383,2164964.087123112,2397921.3018568484,2401019.11554636,1627801.898492883,1650557.761262584,1323780.6602316822,1532649.367226631,1426688.5891372703,1621045.381754635,1638729.7758298342,1305828.4435758723,1514661.0701047778,1419449.5293173972
19,2645081.54520577,2648662.971595835,2648734.6219894034,2650900.609980502,2613666.559871467,2619867.4520061547,2247651.2512745108,2250709.628640461,2414053.701052689,2420822.083082898,1621454.3277755925,1648604.0436339297,1228656.1938030121,1413762.7658592598,1384682.3690036645,1612356.8160129169,1637231.4782653286,1219037.8862559765,1406147.0080705548,1373978.1764491731
20,2653030.1365325097,2657173.6119736126,2646879.35198937,2647510.282587345,2536903.5114697665,2539100.0370682008,2239487.261113349,2240932.384428237,2382060.165885442,2388240.5306635154,1596231.9035418243,1643518.570145761,1256831.510222725,1544442.2266595291,1447208.7022675837,1595158.0474054965,1633323.392539321,1249778.1787816042,1537391.2795132317,1442811.9207602744
21,2649512.909323867,2651848.66579399,2651109.756692579,2651987.1757592335,2578594.5197821977,2581594.8849966694,2257023.6512265997,2257504.0565384114,2388817.1855271696,2393253.0550721665,1611086.3047439116,1628722.355095908,1403350.222016187,1472607.9167674445,1457678.7012544293,1604014.8056836778,1618348.9857726546,1391695.7731412011,1466421.2822910682,1447250.6021126136
22,2649033.384498681,2650752.373828521,2649755.431405306,2650427.8972758367,2566138.1779735396,2571956.5293659354,2269957.7241049726,2273213.662243309,2390918.83401154,2394841.784194601,1622208.9604271802,1658209.4607850919,1287942.7322505151,1524300.1696866176,1429535.0146798263,1613353.9474464755,1643373.931922093,1279868.9589462795,1516501.3515477867,1411827.8084102941
