,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2625644.9211729486,2627771.175049125,2628613.360738175,2631236.802443683,2516356.87420216,2519473.735047401,2110086.3876218926,2109444.88902057,2334687.3371410565,2333026.5754328123,1609345.0494204862,1614641.0092438816,1165565.615898065,1496546.7582643433,1313864.6122292862,1593831.4486097873,1598669.351483564,1162303.330834628,1478732.2564367473,1305067.0220345554
1,2627132.3980809688,2626800.037582218,2634429.3711571773,2634750.4791502054,2451627.322615559,2453507.6886047507,2052748.3456707746,2048023.2227523034,2328143.413820669,2326727.3094656905,1643084.5960134382,1639226.744389517,1281071.070894824,1555712.7036676775,1401955.270975515,1625005.5198472068,1618239.4680329373,1271515.6542420895,1537511.0093550212,1393996.7401035123
2,2633249.625101343,2635297.0107297995,2634289.819767139,2638720.1015224066,2501934.7801883095,2505508.2493061824,1988847.511608805,1977469.4149549482,2324029.2891474916,2316450.912959633,1610628.1701893185,1641069.681721307,1464605.126172866,1597524.4135543182,1402754.3078388292,1593697.0675445497,1628138.0180349364,1447564.8982787258,1576018.3955289521,1394406.1415761355
3,2625112.351373112,2630600.904252206,2630295.030302374,2633842.781527693,2483410.6542908424,2477756.5471918136,1852965.3644350609,1839722.363365895,2315032.189900227,2306997.2474990464,1614761.464801981,1615023.1846951752,1451336.30236597,1557211.7245110893,1457002.0014237948,1600327.6350621954,1597794.8781953324,1427555.6022161134,1533151.7079133352,1441840.5502837058
4,2633533.575087251,2632943.224233997,2633620.0605988614,2636754.026289132,2499086.4731451334,2504797.505133923,2135186.554409794,2126441.9429359324,2312826.0393438656,2304791.069951048,1630152.884767449,1634820.1953446264,1243055.5322944985,1578294.5867988453,1358651.2567788607,1609659.5832858197,1616246.2376387133,1236164.0004119033,1558594.6138022372,1343489.693091817
5,2631865.9842111357,2637233.8763765474,2631091.680008215,2632188.934631377,2509640.3159834784,2514679.01787619,2010514.8901292873,2006176.810225505,2315752.5421412685,2311167.738418664,1597557.2600283541,1643179.120813636,1269946.7434641933,1432906.2002580941,1444661.556293962,1588169.4618902106,1624991.975776792,1259398.4985513203,1416591.6513081975,1431038.518400395
6,2628424.1124168094,2630414.037036079,2632315.2433257336,2634916.014870783,2509230.2268204554,2512968.012860796,1932576.2436160045,1926194.165215366,2327565.287075438,2319820.5803253073,1627558.1434685045,1621813.7623355617,1411875.4540451257,1400686.499016552,1337587.9554360944,1609123.2442269889,1609773.953817587,1391894.7375768195,1386063.083882181,1329324.6092023687
7,2636238.7140836236,2636681.74176346,2631672.480522852,2631282.7199018067,2469772.272882261,2471537.5325053413,1986752.3791730436,1982076.9669903151,2320788.1306793815,2308758.191547066,1630153.1504134804,1645346.8198467614,1297778.626774595,1555391.588894502,1448702.0008989752,1609294.2194722518,1624707.3854570484,1284021.3615883512,1539461.1337593643,1429068.3212788154
8,2629914.5006913194,2630040.0900542866,2632551.504521179,2633425.83577831,2498145.0191855724,2504627.4001351465,1876990.7605807725,1876965.889838128,2327373.4280653037,2327282.6795385126,1615890.5180216385,1644145.4247710137,1355862.3143800516,1583107.700523358,1410210.084418895,1600221.3647971326,1628701.590351704,1359198.2148661655,1566156.028800682,1397660.2335129732
9,2634779.853125048,2638122.661254606,2628282.0891641397,2632396.9385623327,2501799.4149858784,2503739.331969374,2001522.7813402615,1994010.8891316224,2326269.983519712,2323944.9797856365,1611032.185649239,1641666.345375921,1352873.394623879,1477644.4439112807,1377114.2053430472,1595007.1102883152,1628505.5841594983,1335259.51523122,1466191.0992980236,1363105.63650966
10,2625479.18622877,2628547.1551382737,2634008.3057512166,2637775.746295246,2500248.7343636593,2505810.6062714993,2013832.5604266683,2008186.0111043747,2315693.7657827814,2309362.048430017,1604148.5962672492,1629318.1029186798,1337338.9691966814,1484127.3451043589,1535282.7715224496,1589843.917625602,1615744.1776419217,1326348.8719059736,1462475.578595439,1513726.029492699
11,2626619.8407717138,2628608.6048797863,2628889.3384194802,2630836.6202919325,2497391.449093884,2505036.4293322554,2100453.949985875,2093214.349070835,2325279.0684743393,2317011.7226355774,1628271.1805972129,1631393.9782009518,1198597.5541954231,1484307.67172645,1392272.186448537,1609835.1905768611,1608504.2339458875,1186360.740239949,1471382.1464400822,1379752.3068409776
12,2626653.0174370403,2627173.4976958665,2628258.587676959,2631337.374815029,2465274.3151429677,2469161.853667759,2137876.132134155,2129905.128195313,2317064.5800852105,2317647.589802331,1629762.4587230058,1637629.467035593,1214711.9622350559,1543111.7258710691,1403386.9159740035,1608834.0111851254,1618315.3016495225,1206500.7900164358,1523003.5928718832,1394184.0607675447
13,2627561.015382775,2629387.933707931,2633194.093209092,2636101.6770881824,2505609.8099324633,2503897.6684116814,2118195.530551917,2117254.010982299,2297042.1166739096,2297238.8850016515,1614202.1936390908,1636849.8207506323,1171789.3959076146,1477673.0451509245,1403202.221981984,1600602.0532816253,1614611.4054628394,1163150.278971626,1461546.2586507131,1394974.0519733808
14,2633281.9349350156,2635559.986299875,2628747.359083431,2632292.7057350012,2510134.4890736537,2514936.568856095,2032703.296766675,2027258.673814022,2339465.659035297,2331207.376315667,1602631.987507117,1609077.0448809147,1303499.3762529772,1582407.7332392787,1387033.5997491316,1586169.1118278038,1597437.3761523524,1291149.0783873072,1560272.5332024312,1375649.6348227372
15,2630119.0598623827,2631319.67049049,2631197.3118424616,2633105.269498621,2476813.063424803,2484744.025555922,2046180.651303421,2041478.4933268058,2283163.775506093,2276627.7890365813,1641148.2542038893,1632356.9259016823,1305313.7009009141,1480634.3173560975,1501033.8658421114,1619108.3910294885,1609252.785345559,1293616.9822608363,1470014.1584859556,1485270.244823242
16,2628903.4928483325,2628630.420396492,2628745.9427240323,2630775.2443671217,2471284.5585761247,2478168.086421282,1912597.7567502973,1905982.4252730708,2307152.3198444075,2306421.3192520607,1640330.638779082,1647633.2089646612,1356379.7713677166,1530040.988058077,1439105.5545319675,1623419.1643727333,1629524.4692494567,1342112.9153988985,1518845.356105797,1422970.8064421483
17,2624836.373180565,2626445.4831960266,2629052.5513116517,2630684.2904237458,2481782.534604184,2487762.10107104,2031407.1336186235,2017612.3559855702,2338861.0074846614,2336752.999746422,1621495.163786899,1641001.7743909704,1380983.141042151,1445392.6021770865,1381666.9429965983,1603026.1557467664,1621951.4937974038,1364006.8189847292,1435236.4763617937,1367758.5007243056
18,2625700.479857197,2626312.2075407533,2632644.25862976,2630976.565012959,2489477.6961047156,2484076.9227040918,1990127.8357890218,1985146.8104824382,2316094.021537506,2313494.605587018,1627900.113286917,1650723.5891322135,1325483.7334126567,1531377.3356166766,1431139.3866613896,1607666.6818648318,1625644.213334001,1319156.2528505854,1505559.9713147404,1419214.908995516
