,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2578374.568281471,2598945.8757458953,2586826.8542639064,2603466.373877646,2542941.351250689,2557903.9951397628,2262506.399651652,2300149.4523704303,2437483.95142774,2437254.966694561,1329864.5723033499,1339075.7058773658,1038034.0064790368,1255004.8346114133,1099732.2487217123,1292357.8084964245,1303886.938071708,1001713.9323416436,1233635.8022964408,1097987.2030988731
1,2583781.538259875,2604624.7879992668,2591653.8563569393,2615533.4322599843,2500017.54114642,2502607.3884160337,2212871.6130512087,2239302.449997646,2418838.3081497666,2414295.027375892,1356391.305348376,1347056.97759207,1127502.0237020445,1287842.0866015763,1173808.821867731,1318172.9913909489,1314488.5905236653,1110757.1744001757,1247136.8961415717,1156307.9554818855
2,2581913.9174883654,2606141.398136204,2598454.538992456,2622228.1639322937,2518723.250899085,2527777.8219908196,2143136.4341535196,2157806.957244424,2431110.0087829395,2428747.898282548,1327614.5662818565,1347594.914705122,1231765.577412837,1323340.5025745314,1170205.6114957547,1293569.7364856384,1315331.383881043,1196752.853980427,1289144.3930540367,1155073.291033127
3,2580850.2269350123,2603608.771658059,2587010.769773855,2606563.053229332,2511597.4080395037,2514689.298093207,2048687.532845437,2064863.0599938945,2399340.111380849,2392151.4724521264,1327275.1258319104,1334363.1907764028,1233859.2996164726,1299662.8078236887,1216909.0814713938,1292464.6997906172,1304822.4382597452,1193784.6681760466,1255986.3915144952,1203011.190594012
4,2573036.4264698103,2599475.8536420455,2596537.1608620333,2618892.117734886,2516068.4171116706,2523349.346977818,2272472.4191064853,2294318.355252101,2409937.4757569134,2409518.6158858556,1343214.637001352,1341739.8568725605,1080290.4877404552,1312136.518538772,1132041.1973966302,1309502.7382327688,1311427.9150811553,1073541.1810907607,1281201.757266669,1130040.4234348156
5,2583732.6885334,2606536.630560777,2595635.2858074633,2614270.6834680303,2549482.1685210867,2560030.92223097,2152979.8096847376,2175090.0328972912,2394798.5403291835,2388913.966623268,1319991.0409648572,1355765.8253399662,1125002.3784169164,1186314.7216906229,1198779.941056713,1292300.704406937,1317303.363057955,1104594.472094087,1173835.6125222344,1176990.0349650283
6,2572210.939761516,2595391.9778177547,2596027.2218934083,2617954.09480594,2575931.871622855,2586835.7549290694,2086817.1581663971,2107466.322863455,2434880.517114111,2430964.1849978296,1346966.0197587165,1336237.0166188204,1219572.9809634828,1153697.0711574606,1112180.0014729933,1314399.496313889,1300911.1408389441,1175951.087184061,1149021.9128297544,1115241.3765414793
7,2568807.6426392463,2595967.796947768,2593539.384125048,2614647.265925055,2491814.5090745706,2496454.908561321,2120450.4942577067,2145986.3420253657,2406251.106995211,2397691.6586933834,1345985.9942149676,1351412.7633449808,1147341.915523053,1305324.626776113,1195172.354007647,1312421.1167306583,1315908.777097306,1116418.8128929886,1269602.6327235613,1177789.9198341628
8,2582393.1966678137,2606932.320509321,2595174.7319052415,2617065.011808659,2518688.748692194,2526918.662664494,2110652.0283878758,2123183.27336614,2405825.7166229067,2401447.6370699685,1330913.4498584038,1352285.8308008134,1185444.8387675963,1319906.454302279,1181292.9112892144,1296879.031175793,1319545.4962680568,1138378.5023984213,1290041.448780321,1173287.5383525344
9,2580818.464022417,2601429.2540191687,2596001.4434122243,2617370.2926237686,2541996.347419368,2544544.0088366037,2165706.226376364,2191022.7336143246,2405268.3691392,2406703.231474055,1332479.8880100232,1348264.5225748674,1168392.37179365,1233120.3425262528,1156315.0431701192,1302428.845236124,1314236.3244380818,1113971.6264023292,1200066.0677598822,1152166.3871451323
10,2575083.295389546,2597348.2330225566,2595223.445243283,2619981.4661939526,2537094.687931073,2548634.4832398556,2176401.9694563793,2198547.3003274845,2370809.442250222,2358938.6167776883,1329399.1416416245,1339765.0081601623,1176353.1703255817,1232480.3894459303,1289955.4123474678,1296747.1496120556,1311951.4680459625,1134726.6885091735,1213065.5717913308,1252955.6489253892
11,2571448.585877799,2594753.923135983,2584789.324068824,2602972.3277861364,2533955.0948887696,2539639.279774299,2287784.3385491427,2331684.2425150624,2410409.208174278,2413387.657600726,1347200.9521565523,1347947.3141542089,1012956.0408050402,1252788.6207558236,1156637.640263943,1314522.1475192285,1314333.3994841326,1013772.983954048,1228660.789742784,1150600.5890145858
12,2574816.7622610093,2596170.5221467074,2593624.910276685,2615470.915343399,2502941.10053816,2507985.55114696,2288277.417775098,2317699.812051813,2413781.279403055,2403438.8748247493,1343999.6484487168,1344075.9112629662,1073874.8923548344,1283666.003685379,1175086.1053297564,1307440.1925450114,1313609.5127162554,1046484.8376423563,1247973.850693935,1165075.1856910845
13,2582551.7907936834,2603978.67419396,2588995.1831235792,2610388.2975152424,2535320.418045248,2539913.9213478244,2252526.4409840973,2294953.7094600173,2399970.271335542,2394553.539566323,1332593.9571337313,1345814.4492010078,1025322.2993089275,1242055.3033276366,1178730.3888151117,1296753.1360328868,1308415.1974168988,1007858.4138819678,1212321.5970612639,1172504.9995849493
14,2577809.127557705,2603387.812125275,2591686.2713224553,2611634.5544474516,2530261.8050755737,2542033.926928697,2182652.404659017,2213350.187770741,2426893.1458836747,2422396.096692293,1322048.7582782067,1324901.259590817,1143299.643018943,1302900.104058133,1159144.209061206,1290016.1167656805,1292720.0041371353,1118226.281984329,1275834.496629205,1144781.9422595925
15,2576499.782545785,2599481.0232822783,2586567.9613547465,2604583.5320827626,2512335.6138931406,2525493.208502005,2178522.0997244157,2208393.0007810546,2362481.5736229415,2350535.513737497,1350272.8053371105,1348656.7256875394,1116358.520118187,1250983.3533716775,1252886.2152471321,1312844.0388736064,1315413.2544450404,1091338.1085334339,1226910.2590155755,1217261.188967093
16,2583156.14423591,2605510.841923402,2596003.4198098485,2617087.4220648534,2505776.9932814213,2511406.203186198,2095569.858907714,2113116.522591402,2393516.5903641293,2389536.526684913,1354176.342938092,1353246.271387307,1172006.467461826,1271955.0746309955,1205173.92652126,1315018.0584566551,1319226.1703513649,1143447.7317006183,1228432.2770824593,1199757.1157513268
17,2570300.8182254313,2590791.7020849246,2593104.968297054,2613853.6793179186,2542659.364447087,2548574.9613603065,2137629.9666385194,2157100.012824135,2412615.1921200855,2415847.2315221066,1343911.6544748473,1348052.0127411317,1196184.2530177585,1191019.5257130573,1149562.8603744772,1310251.9813924734,1312960.1611681706,1152801.0119441133,1174200.4948058561,1146476.9198824742
18,2576913.984508845,2601124.2127031884,2581614.359478266,2601614.9245399833,2518750.3817501273,2524229.8489520336,2156591.8078534272,2174790.039052398,2405507.9807123593,2394810.79044093,1341871.017091613,1364360.70467898,1170547.3775432636,1275297.0759237546,1202404.921248265,1310029.0953611445,1327655.6699856184,1131448.0730124284,1239674.9280962718,1181153.892020187
19,2572356.2137603196,2596788.9487608434,2596101.6179808076,2617518.6051340997,2569576.9540919187,2588963.624065037,2238914.8921022904,2264408.460111757,2425424.269437819,2419714.7423639344,1337341.2506282763,1352350.4163264143,1056797.4284415934,1163936.7767673123,1161550.3128353292,1308117.3436178006,1318758.5624419393,1055655.5180820527,1155634.22728849,1142699.132869003
20,2583054.4694557805,2604717.791909294,2592849.5917379395,2611748.6548624216,2514067.7792757303,2520922.966964575,2239984.0637108693,2261911.7031048248,2386680.0234313365,2376934.0051196357,1320725.118099927,1356600.114139335,1111049.464209836,1286759.951423542,1221439.1654302387,1288978.484346566,1318227.5239523726,1093008.9576854904,1247978.3248164826,1193656.7088932847
21,2573788.7696327055,2597744.3657112517,2593803.5649243426,2612938.305033099,2549668.6874252353,2560141.270142097,2273335.471209339,2308007.5889400765,2386916.921141847,2382124.0119225625,1337171.6821121483,1345657.6281740663,1184329.3520235003,1208139.0029531426,1226242.6721503816,1308140.093678392,1311350.2886550836,1157868.4912583702,1189050.9259626966,1206064.1266550452
22,2579492.2106185993,2602948.4029541234,2596049.418031009,2616595.249041526,2547472.541661651,2562164.4477591906,2270657.7708044383,2291052.0377853056,2391342.6962462915,2381151.886912101,1342601.0749007254,1362370.5555692168,1127407.460764575,1252072.3170862785,1192726.0877906252,1310990.5982150906,1325579.9619575117,1106999.8867363755,1228849.0868628635,1182588.6151686446
23,2566417.233830873,2589318.946045259,2594442.9984314265,2616155.491548418,2521769.6507473113,2533123.467743027,2120453.326906504,2137797.8593909144,2395257.1828059484,2389925.7650261195,1353834.7120639465,1341475.9251507258,1217173.2368560152,1329942.9347747497,1223183.047242282,1318419.11252357,1310753.7890348951,1174285.8875603322,1296957.037171651,1210082.6692406414
