,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2566993.5883897915,2585424.663895457,2573543.6222900683,2591165.6506753042,2518715.137009537,2533304.5742973885,2196011.7479060674,2202966.9787389804,2391223.326878287,2383932.8574875835,1332097.5566935202,1342187.7149119105,1033377.1971158204,1258433.7032207402,1097056.8210019926,1290909.5292878472,1301777.9473082782,1013921.6772223081,1228981.6508810523,1089168.5345738376
1,2572050.4874293115,2593314.9858294562,2579075.8674766575,2602660.3432478313,2461246.788909572,2469308.4918097416,2150270.4211012423,2146178.0490666116,2376414.597656088,2368022.6816619793,1358838.579879593,1358532.910894781,1132833.6990934294,1291686.4862823826,1176108.2912619256,1318841.2258101953,1316579.4230283033,1096341.0998497342,1250331.6876926727,1158429.72743826
2,2568399.357509057,2590407.7067649737,2584681.486432144,2609909.67999823,2498574.7396640265,2506942.732516222,2084630.825530339,2070462.1116721877,2379350.9471498583,2369480.8729596096,1338311.7916283864,1355286.0902912677,1240578.5551638557,1332908.4718566332,1170662.9839423217,1295618.176029724,1322082.971862675,1206014.3005153316,1294100.5743649579,1160887.481563134
3,2566459.387862069,2588066.5569312805,2574306.2821787195,2592986.86174844,2474266.3418363696,2483233.827260261,1966554.164068935,1958758.9406244839,2359977.2256245874,2347700.934652752,1335543.945886521,1342284.6785961387,1244807.0915981857,1312341.9976914816,1222539.782704188,1295643.8825733399,1302264.3470433801,1198571.4278621818,1268264.8194988961,1197238.623887998
4,2563939.1615473074,2587082.3948281705,2584590.1705659283,2605707.718078285,2490014.5872185593,2499195.1058465578,2207863.1748054605,2209279.2568109427,2358278.0807980928,2349971.4518461116,1352064.6700755872,1352761.5148583474,1073740.460236006,1325694.6163089497,1139063.2977349043,1311708.29228042,1312083.0490962432,1068552.0665032472,1284975.1483362974,1123103.0237923511
5,2568311.331902837,2590903.9967175224,2582297.2377407853,2603113.753770308,2514800.5851246044,2522670.142626162,2084764.3159451508,2080023.3412759483,2351393.06760904,2345161.0571611985,1326088.2177316528,1358728.4083706427,1125658.410057813,1192746.9795712896,1203307.5134809525,1295812.000152706,1319207.285159005,1096260.2876698445,1168958.628096417,1183035.926014063
6,2562914.0526831755,2582828.469319498,2583168.309089486,2605271.5336812316,2532626.393498693,2547206.7762242416,2014200.3902129526,2015060.7058467823,2375153.8283044817,2369272.293379253,1354906.043858843,1339594.6373912685,1221529.8404422293,1151862.9129418135,1113883.6996790918,1312331.2647926703,1300364.9438360233,1173134.3616655024,1144617.242834169,1116092.0238259123
7,2559775.6878060866,2585173.118150617,2580574.000285266,2601433.928835986,2460948.096192738,2474407.8737565847,2049635.753853194,2048896.4919573087,2355614.295650193,2345680.1130964532,1358015.9235751927,1362722.4989949102,1146552.7274957728,1303307.0084012563,1205547.889284865,1318254.6523948438,1319606.987475824,1108190.972607672,1265684.613708189,1184016.241878465
8,2570721.7651065374,2592581.6371250604,2581190.994954497,2604679.9519878817,2494869.769412835,2503491.852907257,2020912.5361708212,2018061.2030121498,2362407.7774819625,2355746.0855086604,1336672.1754755531,1360061.778306936,1183699.7146105212,1329861.5205643105,1184133.1756673756,1299390.5308200617,1324303.1104699136,1145734.7804409505,1292636.6763508406,1172821.2818515054
9,2568188.4924924765,2588658.87724478,2580365.102095841,2603692.294892779,2509346.7830969007,2515847.274402957,2095331.4628526033,2095244.83971028,2365225.347790024,2358626.4773992253,1340150.7292893108,1356519.8721264608,1177156.0982787411,1233419.9745021418,1159856.462783941,1301233.8296647118,1321781.9768287796,1139226.1447802964,1205720.7566628095,1146322.15687687
10,2560501.780136637,2581466.8109057685,2582922.5303161424,2607077.157473699,2508986.675960148,2517641.637717967,2106740.7054156098,2101578.590570815,2337347.668762059,2328106.7728645187,1334847.1013501873,1347771.797266213,1182590.6996626488,1236861.98732051,1293419.1051764213,1300330.2665810445,1313517.1270063836,1132420.155464369,1209179.6133122358,1257800.2189750203
11,2561589.138629703,2581518.8536364296,2571458.9261472384,2589604.703516444,2502418.4419397353,2511731.7189975195,2210881.868077295,2221600.4605597705,2362527.501503244,2360291.7905527726,1355677.0339196231,1359299.3088216062,1027461.139518589,1254431.3542173323,1165025.1048328131,1313144.8514556412,1315180.827050968,1006813.2783354495,1231067.6389828888,1152043.5248243734
12,2563114.6128410785,2583005.164167093,2580384.9202930927,2601119.488265586,2468526.2466142145,2477771.349791668,2231785.153009529,2234114.7464146893,2368719.4471727656,2359100.563392861,1351705.6863492879,1355633.6269116974,1071473.2280545721,1286890.4637063048,1174705.372564967,1308612.1979798486,1314161.4313750921,1055841.4152268814,1247091.132906566,1165755.8899966616
13,2570920.8288541595,2590533.488222311,2575488.477013973,2597482.216625685,2505940.5499785566,2512766.00234224,2180327.5244803256,2194496.2113719033,2344090.610194603,2339181.4634950263,1335415.3872951248,1356950.3398422617,1027004.9091873117,1244009.5135057631,1179990.9911696392,1297162.3533345782,1312178.5278959922,1002220.864130217,1213425.789821545,1173557.805903864
