,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2615240.3353560073,2639794.9540330963,2621068.11926382,2642330.377138761,2581466.6287036096,2601414.091654986,2303113.001967336,2311941.8642526595,2466059.9501516907,2471869.0873383344,1581715.672956031,1585997.0812590907,1177215.1045765185,1507023.1427706603,1333330.3017643392,1489433.2500485387,1495856.9303659215,1147070.8405887724,1430899.5073137772,1282070.2416804144
1,2611771.188636995,2635072.812851141,2618497.887992265,2640379.2508514053,2526821.5022661174,2541526.068371339,2251518.3693309994,2247122.036844041,2434337.1272205375,2436332.4763726066,1614882.7894581035,1613591.73305099,1303723.7903388923,1535811.8041025032,1413248.795940604,1521249.1467430526,1517353.4139419028,1258166.1772263849,1455972.1462602713,1368406.0765507733
2,2622157.253755711,2646949.85803969,2621591.6087949523,2643495.3984049973,2546920.9340242045,2561345.4915088927,2145667.343032161,2125416.5356860533,2434562.095271279,2447586.2859708085,1583348.0515289528,1616577.3168100182,1457815.3036310046,1582100.0217171926,1418184.7976439577,1487969.6705474905,1524212.7792147405,1391543.4478574814,1494049.0224223572,1367807.972497149
3,2616341.788382509,2641577.4622008298,2621238.840450391,2642530.5119267283,2542926.1292570056,2559139.5158242895,2059896.141541734,2032226.502889072,2410705.4795543784,2414313.6819019495,1586234.1560833184,1588181.7752850389,1444054.8080044172,1554468.563299693,1471528.6152037159,1491831.1884443772,1496570.0033780083,1362382.2669330167,1464213.326631041,1406839.9328892487
4,2613129.025371217,2638170.0379715883,2622699.551904464,2644037.588987978,2549801.2631911202,2563071.3459012304,2313849.6453757696,2314402.59767971,2430486.856316174,2440123.648215104,1600914.2486388555,1608603.2682677484,1253763.5327152982,1571273.6656434233,1377850.386482997,1507707.486768085,1512572.5625057511,1220168.729085756,1478501.815522918,1331130.2552094026
5,2622402.2802026086,2648350.911389662,2618192.171383571,2639695.4667980103,2584549.696385137,2610083.254873734,2199931.535821057,2197360.655881309,2414036.466051204,2416108.424133937,1570725.7137957376,1614522.5573943995,1292979.0015223636,1430705.9911138427,1440825.4680050344,1488356.8593360425,1521450.054968597,1248520.1572495284,1370902.967006144,1387114.6786176804
6,2612493.257036869,2635424.257408874,2623748.051067625,2644707.3102451996,2610536.657405598,2638515.164054394,2123056.0250324085,2105622.2766323285,2451267.5011077565,2459512.526230672,1598551.753452236,1589928.486193035,1421253.1316147689,1395114.1456542679,1350337.5930649897,1508080.05102096,1501778.4938402043,1337898.6724873683,1348545.2373625487,1319164.2935495346
7,2612821.399000489,2637607.901907294,2616601.149258283,2638616.285904168,2533055.246112533,2545342.7053486775,2176762.8279689765,2172008.716142642,2420528.861611109,2425409.8829685594,1600781.8024484103,1620793.6700325538,1317919.0213269787,1546543.210537219,1441348.6803400733,1507098.1479766634,1519726.5656634285,1262847.3547540626,1458051.1937827906,1388140.34839686
8,2615797.463163581,2642158.071497618,2616779.1091437377,2640122.257754592,2545527.846845408,2562937.896855965,2110755.841371416,2099863.076955135,2428562.6813924606,2438110.00582252,1581774.1487458379,1622827.4391439192,1363414.0471714176,1574501.7289695507,1420151.9692128287,1498033.3054052978,1526810.777772882,1305769.488314379,1493456.1102306661,1366240.3166917951
9,2619654.659002109,2644476.6824879507,2618171.1411901815,2640370.862556269,2570445.878340386,2592968.8526487593,2184100.8865226465,2174057.2823430593,2432922.326916331,2441726.5210284484,1583378.6121642254,1617815.1791451315,1355108.7493419512,1487039.222396528,1391627.6028481503,1492287.8451851967,1522166.0413316786,1290942.1964410618,1402537.3970844564,1343753.834340246
