,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2586185.2730225837,2621148.440315935,2593189.5074262484,2623598.118991651,2522405.2532691336,2545892.3509167247,2134566.2473551137,2166346.7846420887,2379010.688892563,2378297.544863241,1579726.912033608,1584962.964571186,1195998.9769076928,1500348.498561977,1327392.8165797745,1472585.1072291113,1480106.35431185,1152473.5860037054,1418241.4302676427,1277565.9975236051
1,2584945.5280004134,2619086.343015128,2587951.1511340407,2626750.4235076434,2458136.833367221,2479962.8194485595,2101038.150235702,2099651.8807517476,2359534.4580170903,2351804.135077188,1613895.3985537346,1610506.4004883433,1308654.5136021315,1537154.0670822188,1411818.3780009262,1504640.5553916586,1504966.4853376164,1253893.995553003,1439791.6184401913,1359741.2944258188
2,2588226.412628662,2627094.9835486356,2589187.869473006,2629986.3062308375,2506695.069000433,2527448.8766650064,2024700.06901272,2016150.9501544742,2353194.7202170887,2372062.819260351,1579774.898716607,1608845.9644347269,1459102.7401237371,1580941.510149227,1414221.3240432455,1474009.3627755686,1514685.6151417692,1377303.5283871137,1478686.7031241248,1357372.6515468531
3,2584474.1586254165,2621920.06981685,2593290.7402351135,2625505.152935122,2486657.767389359,2503677.105511895,1896072.3933634942,1877296.078623563,2342013.9400364812,2340800.491425384,1581534.0503675204,1584847.610842088,1443279.6965513001,1554724.2495466995,1468245.1329179946,1478400.5825460814,1483918.2602022537,1342800.0375565859,1448734.3421666713,1398417.519014481
4,2586526.693922612,2623456.028113637,2591599.027693324,2628787.8613708075,2503389.4007027163,2523203.331172693,2176623.7849000436,2182733.114224882,2341658.731712887,2333769.4092905824,1597332.9434651693,1604033.816998444,1253973.5768788236,1570145.469484043,1374653.5905772098,1494408.6389113213,1502278.4804229764,1212474.9604056182,1476479.0915272722,1321679.2911052534
5,2588486.953324383,2628079.464519119,2591350.1066482323,2623515.501170125,2516000.7665709616,2540162.3676565555,2042172.8047935562,2052385.6292253355,2340774.5357881812,2346272.002781135,1563478.6310928187,1613376.9243311796,1295223.0310193987,1424323.331468914,1440006.2792058093,1477698.3591255513,1504940.141758744,1239249.6220871701,1363534.970552333,1376193.3868686026
6,2586010.9156168774,2622475.964682429,2588674.554116077,2627272.219603023,2534844.4893348115,2551997.310560735,1975898.380529556,1974353.4862625997,2362332.0331847914,2354610.5066428673,1595217.420717045,1588588.9295866806,1420429.2342990704,1391539.0315581716,1346788.7037320663,1489739.0059301758,1489881.119826786,1319616.1972518885,1336328.2702238334,1312858.4456125977
7,2587517.524916051,2626906.2350690453,2588777.682563047,2623391.584161885,2480364.064922846,2499301.6387650208,2017306.00743462,2032164.8113618572,2353867.8605534593,2343465.1289934823,1598653.3202459782,1616666.925521142,1320867.171913401,1539698.597609435,1443386.2989493648,1494106.5268974546,1508595.4213422216,1252706.623040266,1442682.8564090196,1372952.3851993615
8,2584470.6231114287,2621714.5861143647,2588952.288817806,2625189.9446173795,2501039.4818026368,2523521.538928071,1929028.0936412339,1921398.2346569295,2355826.703918876,2359355.6472495366,1580979.1875342058,1615054.8917429799,1365442.8698586393,1574527.082360885,1416530.061812083,1484997.7623713862,1517731.557321044,1294820.6377845893,1484346.7367802327,1358987.322829618
9,2595791.9749001116,2628092.8392107305,2586470.003543402,2623594.4867386143,2509848.7135077426,2534843.5470356275,2031550.7593023968,2030245.9398157313,2357908.644367533,2354560.1632041484,1578901.2798091,1609174.3098259107,1363403.8188431147,1475015.9605363233,1388011.7523566727,1478531.716343672,1513744.7425099511,1298837.2124794866,1393673.625750763,1331572.209877245
