,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2560147.0331997387,2590079.713778817,2566283.244814089,2593842.3327311357,2525742.5621587825,2555882.44743161,2291703.846055598,2284286.193965256,2440598.187671691,2441647.174011143,1315591.7942456251,1324559.254604868,1019057.1273827682,1251758.3801089604,1100490.3953061197,1270771.5018908377,1279823.7281142434,1032378.9670000589,1206500.7065864361,1098207.0819308949
1,2563782.840138779,2595055.842000986,2571126.7692507035,2601993.260641618,2481009.1019527134,2508737.3821068862,2254473.3981976667,2221766.064187571,2419983.5579912174,2415370.783840316,1343379.8850226596,1334127.8405627024,1115483.1718921547,1272777.655719464,1173810.569994917,1296188.9929552963,1293638.459318051,1070277.1089898834,1226683.8896189511,1154307.8127525265
2,2562785.1666060314,2591418.8486871338,2574317.228476375,2606998.950524764,2498445.408960554,2529525.9642967023,2180351.17877168,2144108.9042833066,2432775.633228219,2430332.0419816207,1315561.2091269642,1339760.3066451594,1223334.66453607,1314846.5624041075,1167552.8347792637,1275837.2807627132,1301735.084800035,1182611.400705563,1265310.6958765683,1156477.5703445196
3,2560417.8100204337,2592781.488948703,2566492.3053434594,2595626.8122557434,2486243.247269678,2516255.5772533,2087986.4147345184,2055109.942141553,2402435.452919996,2396444.87653808,1316826.3445800913,1323087.2032130717,1219012.342170517,1290386.2424006024,1217949.8178797753,1276861.9228453357,1283579.7834818817,1171471.1009665634,1240228.260218187,1187894.492591039
4,2556354.1696460573,2587469.4979559127,2572488.1583071714,2608223.712454089,2488444.7592759756,2524903.326576006,2288164.297887537,2275383.4143482232,2411850.947621871,2410938.9163233824,1332174.0582544664,1329750.56321438,1074026.0811423252,1301026.5028211833,1134020.5465512297,1289712.4369379922,1293083.6145255384,1076199.6624445755,1263499.177805113,1132534.1003321714
5,2561454.413079637,2595038.0207995996,2573661.583866063,2604200.580661607,2524629.3513682294,2561856.1882750746,2189238.9635534454,2158729.069233925,2403035.463622967,2393494.270764226,1310981.853165797,1343239.0011884368,1118802.4901857497,1186891.0458365069,1194783.0281867683,1277581.7522960831,1296291.6764713968,1072517.4334799207,1153340.8252222606,1166889.9385662246
6,2557203.0898933224,2582404.4025888126,2573810.849697526,2605548.790336073,2541597.2538594482,2587630.8452442614,2126934.337282759,2094247.0825926233,2426754.079727513,2434484.5556132337,1332799.2102429986,1320501.0423693547,1210899.9662172468,1151835.0245332692,1112753.4659814143,1290402.36291224,1282861.1539711626,1163760.0672743593,1149400.9332340485,1123076.1318382977
7,2550729.9134806003,2580996.0584758464,2571313.4139547227,2603521.025034321,2474963.2682414083,2498325.217242219,2156585.754885851,2130519.798839232,2405113.4635361973,2402884.2071700003,1334743.9599339722,1339994.1566925496,1139454.4895655708,1295622.1739012531,1188424.6245249535,1295161.5070388017,1299680.4552652591,1106301.4698741832,1238796.9562685771,1177339.8770369368
8,2563850.13850706,2595475.8272933247,2572122.762793101,2605114.2639612616,2491331.296767236,2528652.7194696087,2143431.289128559,2107247.1607970926,2408077.432988042,2407119.8986228127,1319272.1693535321,1342701.112232012,1168143.814516234,1309846.7741210528,1180534.723582164,1277582.0208302569,1303702.6906712116,1126629.8264441716,1270549.9241527491,1168837.0030657393
9,2560439.533156558,2589282.1010366254,2569616.9223482823,2605136.0039176513,2518021.8276371034,2545430.6839532536,2201188.723856642,2174316.035676078,2413214.4492647853,2410192.460748749,1322502.58463501,1340219.2273673874,1148691.103528411,1234660.33144674,1154629.3734600854,1284973.0508528582,1303285.9604937122,1123485.5926452943,1174202.8603913689,1143515.7175573441
10,2558365.0270349886,2586110.195886546,2572227.075114536,2605003.885193278,2515107.7513277372,2549173.803046863,2217507.3105091453,2183685.46783459,2384095.514982391,2363863.6820900026,1320397.6044654397,1330403.0313536816,1160752.3627987579,1231585.3751125496,1286466.5885191842,1276144.916691216,1294013.4104243275,1122253.329584358,1186464.4916771082,1224274.1970299908
11,2556651.980628537,2581844.0402416755,2564037.3073691973,2592203.260949006,2509596.5631048535,2540857.846879266,2314665.9420422353,2313156.943568133,2414853.46871626,2413759.3359271493,1333039.9437993842,1335689.2948405826,1000488.4860971039,1253019.9036648842,1155045.2175335193,1290626.9583302108,1289988.6524321795,1014274.1300759186,1197055.713290813,1157615.2951436264
12,2556980.012024559,2585444.744143459,2568657.8520084694,2604776.6748556327,2486678.036351894,2510289.552315967,2315187.775988176,2296904.0969609194,2414214.0525680557,2409529.864029996,1333261.9762691017,1332310.97756658,1065292.9799337124,1275055.9223669532,1177070.0850985926,1286047.0053597223,1295620.6781940293,1056774.9713944697,1215924.4661180777,1156598.972558307
