,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2543691.273237378,2561225.3487643176,2551421.1895320904,2569593.9998991042,2482055.7587222354,2497657.4670190867,2122225.9009007914,2133644.2072962383,2352858.0321522607,2359528.517665039,1286349.8994212179,1298488.9290158951,1017135.0427124603,1227770.0683879766,1088255.0681420392,1257090.1370765513,1268085.4692267317,1015103.3721528624,1207837.1062456528,1086038.4092820806
1,2551772.7396477307,2569231.0612801607,2560045.6516932626,2580764.4388100915,2434233.1432338003,2446452.4849012634,2074901.3810405917,2063197.6262335642,2342007.6452073585,2342331.270441994,1314506.2432305755,1309806.4816147457,1099077.5791941597,1248439.4257783606,1151736.8842562456,1284811.8135746608,1277558.8774101054,1083706.7951900256,1224119.5246764354,1142249.5281041637
2,2545411.364267838,2564230.7426805827,2564572.998952449,2586439.3570902217,2479354.443150513,2493124.1599324234,2028693.7249572747,2020682.3218698027,2362595.8246843386,2364318.009771261,1288398.1832780817,1311703.1672959253,1203879.559037452,1288581.9891774952,1152759.6890140309,1259033.5170111891,1281708.6122883891,1175593.1158454262,1258966.9640668936,1141619.75553012
3,2544450.5082447897,2563688.786209974,2553186.890271441,2572377.8466678485,2447230.5069397716,2458878.0514058825,1895340.0429107451,1886842.9717567055,2326996.7530194065,2330128.9692414715,1287678.3891430087,1298113.024371192,1198872.3698710978,1265524.1289218916,1197058.6239030506,1259147.764126314,1269108.4374179647,1166147.3928214337,1236387.2585725302,1186522.1400659387
4,2545196.492773194,2563508.975929114,2562828.0232550786,2584975.1482146387,2469146.9662181446,2483588.992732617,2135759.3694277667,2134484.807373902,2315339.931465116,2315040.771670252,1306288.9758579417,1305332.8069899906,1060615.8407685023,1277457.5429741105,1122141.8502990718,1273037.1296635095,1276345.7657539437,1053202.413913037,1252813.8653833335,1121653.4146281178
5,2549552.404276009,2564286.264267108,2563573.1254495946,2580393.152157641,2471140.301392374,2488452.0829105796,1999165.0417938107,1998335.7267103298,2327666.8944188673,2335443.651863725,1287529.3738469176,1313909.9840561028,1101148.9499224047,1159392.6706762349,1176925.7973954016,1256860.4332474791,1283012.8692992046,1077273.7462931632,1150580.8066171438,1160845.8681057761
6,2540397.6722236886,2562404.458825496,2561433.3578604134,2581298.376383138,2487383.1148118633,2501815.020866379,1942842.2617410352,1942421.4849512964,2338873.1217677845,2339246.190486512,1306992.3942075362,1295784.15838117,1188033.851766037,1139826.2689559942,1102130.7782358727,1276726.4833054391,1263714.7319345628,1170985.2861638297,1136770.8147430932,1105771.4884366451
7,2544625.7765654065,2562399.4239174007,2561519.8893957045,2580054.2647200488,2436742.4852607036,2448821.2083255523,1967519.217583137,1971340.886267386,2332063.6809788044,2329636.373618205,1309777.298226833,1313801.1871634019,1122716.4995529898,1273108.3767606413,1173297.8287227873,1274819.3800369506,1283425.3691960135,1104250.8025567583,1243593.7616032988,1165690.891032146
8,2548866.3554050303,2566803.7197561734,2563269.420922351,2580976.2965192553,2472723.850692068,2487340.403077725,1940220.3001790112,1928778.4207299082,2329868.9113627076,2335738.517677786,1292904.4726218453,1319188.9554396286,1149794.8968878558,1283956.4542440756,1167899.734044282,1262419.0938975695,1285669.471165797,1119300.292583529,1260532.857940141,1162112.890621758
9,2550198.772286098,2566283.312198765,2560412.191021968,2579417.4058706528,2471014.020023098,2483484.7529023774,2028553.8515372756,2023828.718207777,2329213.785450694,2335456.7504380653,1296872.7152040666,1313661.211788853,1124419.2268573598,1207950.9379784954,1141372.0826906948,1267462.3736301344,1282719.1672433529,1110213.4476077484,1179817.9949256207,1134587.381722714
