,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2609298.8186839614,2630577.1494815713,2613653.293735641,2633455.352061797,2576262.186398886,2596462.400149575,2313046.7469566762,2314217.957889665,2473896.252806502,2473932.7584454296,1551901.8386695208,1556028.1125606666,1174690.7689524796,1489252.7311982976,1318592.1290029779,1476011.4766967972,1481231.6276245266,1159038.9383195678,1423165.159177937,1283940.395404335
1,2603527.13201702,2626459.051878239,2609723.6670404603,2629781.9781063464,2531163.880959141,2545060.4182398254,2264507.3237959184,2249001.396831001,2441385.033707319,2438880.371303113,1586047.9839019168,1581844.513234942,1290728.4244375313,1513661.9069292424,1403479.5914503084,1508071.7469919282,1502908.8815612788,1246874.202873903,1440072.4492058177,1362204.0617829133
2,2615992.479379747,2635784.6609969754,2610152.3255505147,2633374.464575212,2550456.1619719574,2564898.71503726,2162907.4881842667,2131611.112280741,2452081.421779627,2448036.2927174456,1553581.146477736,1585647.7861581482,1449588.0772502169,1558149.7360094453,1402645.1118597859,1475687.412631362,1514092.37801231,1379061.4093421774,1477185.2806508017,1367827.121884301
3,2609861.3841355117,2633461.4694918552,2613353.185171669,2633773.5114196464,2544037.476717704,2558639.8591292,2081419.2446431322,2050253.0859539653,2420418.962349735,2415322.553741964,1558091.015498805,1558985.2596493787,1418064.9308811717,1535358.8667084516,1458329.1393306875,1481568.5947821531,1484847.0768696642,1345736.5855400949,1450879.6474245104,1402003.6169434737
4,2605997.7406088104,2629203.6876663524,2611736.92694687,2636571.747116782,2549140.368844906,2567225.3396810656,2319274.689667308,2314125.335592231,2442364.9057581443,2440607.0938889766,1572993.0409333669,1577470.8333065256,1248198.7701243616,1545394.1987451368,1369604.968632007,1494766.141584612,1501944.248829678,1218524.5711093063,1471632.4368256656,1326747.098198221
5,2614682.8490057504,2641146.3442447227,2609323.8511195634,2630127.3869581125,2587772.7942819092,2610829.0762880757,2214714.0318437074,2201273.0319721485,2424832.870698533,2415785.313308069,1540003.8583843384,1586595.9523218249,1285403.2585989165,1413568.9029935948,1428730.3337044283,1476764.7471675416,1508184.9890524899,1241727.6256768783,1347351.3250949788,1376452.5274105896
6,2607411.4790484523,2625564.764291544,2612999.6932500345,2635258.1701348415,2608217.9217555104,2634485.586979854,2141431.837996913,2118911.7482164623,2460463.6230850965,2459066.8760736836,1568927.6468560258,1559619.0021841172,1400204.7089954007,1379455.7250231807,1343413.5898622288,1490866.7179767732,1490758.3530586096,1330705.1152191143,1339385.761754169,1314535.8191969788
7,2604412.1812671134,2626157.8448164584,2607929.101578237,2629253.720333397,2530951.455744216,2544201.753558971,2187187.9819754,2174431.2509307563,2437806.169130493,2426001.299740346,1572529.5693367855,1589883.6052993117,1314048.8175086263,1524121.742484427,1430972.0029147572,1494952.1545675646,1511374.7090217094,1263960.3062602158,1444658.1317885504,1372629.6871028827
8,2607571.11217665,2632303.353813652,2607785.738631243,2631573.45710534,2545488.900202979,2565665.527503467,2130976.7047749804,2113355.1859064233,2441281.9246640853,2438620.112419921,1556760.6847748316,1588304.5236081881,1333540.7385109216,1552060.9781544283,1406230.1895343699,1485219.9645700925,1516556.931427545,1296493.1894397135,1482280.4197650205,1362028.0453754044
9,2613610.3319579433,2635651.2535330085,2606559.7343643038,2632300.176642857,2574327.868494014,2593646.8692032876,2196952.0179634076,2176995.843336845,2445709.5982153066,2443412.833989163,1556016.1957335577,1585765.4444018146,1356593.7251000095,1463681.0239211775,1380238.2466088163,1482836.8029675656,1515439.179329045,1293203.0504803122,1390391.5952807644,1335297.9697975204
