,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2609895.8753209533,2629073.7687746435,2617096.7586041577,2633107.576203147,2573461.6793795377,2596659.9425310856,2323558.04718646,2321664.1693761516,2471273.2792206705,2472700.6354953554,1546995.020576778,1553938.1289249142,1181259.6070078716,1487480.3762106025,1315384.4277973159,1494494.3094344204,1503034.9613927645,1169694.506826396,1430099.749046771,1289431.100245536
1,2604040.930356856,2623498.811203826,2614289.7860149615,2629701.177093383,2522044.08992803,2545277.059749975,2269958.4615097274,2255284.259124239,2440445.649119498,2437029.861939415,1581522.9287981184,1581613.507694218,1289010.3536284019,1512329.7012386755,1404135.1618708908,1528229.2728142268,1521252.0564425366,1245034.7093215103,1458379.5423441797,1369476.3890342196
2,2618260.460678762,2633642.5691473307,2617015.111841535,2635774.3815798713,2538243.3800601326,2564081.5466306405,2162472.884318452,2141020.1767881163,2448566.8407529797,2449142.1460342975,1551642.5984309523,1581109.3567997236,1446953.5357113073,1556258.061251767,1403889.1594399144,1491268.0734709813,1527993.1649294214,1392882.3497191586,1499873.9744940687,1367114.6007367272
3,2613655.36277855,2629343.56062472,2617612.2111899727,2632260.547648998,2537097.6313528884,2557450.8244189043,2081492.0429122797,2057818.2049962506,2417311.6275884686,2415214.767560309,1556242.2216503262,1558194.2438731105,1418588.5689310946,1533751.5124811386,1454090.122730372,1495310.0319232042,1502844.3629887302,1359980.9992716312,1470602.5847857636,1407570.9869800329
4,2608612.474783201,2623504.632549155,2617393.9735780917,2634555.4420489767,2538024.300185253,2566475.662303835,2321862.878886116,2320592.8247893667,2439461.488125475,2438505.371748643,1574749.0704576527,1576612.4893744728,1249412.4389958554,1543369.3896665762,1365203.593673914,1511898.6867046473,1519173.0994307026,1222798.4320305078,1488364.1411688365,1335478.715769172
5,2618351.5197182368,2636065.84612455,2614003.3757083165,2630062.5974325547,2580628.502487725,2612363.1706299437,2220659.3972807946,2208527.815146367,2417523.0629786877,2418715.8901155377,1541217.3006083327,1582066.4573120237,1286045.0055160604,1401612.5322781252,1427322.099305268,1492030.3523831845,1527221.1541786822,1237836.4226190592,1371167.1196125753,1388941.3772208246
6,2607858.4304020414,2622892.399833272,2620429.3964607613,2636021.125503094,2599827.1721158046,2636005.6520394795,2143211.5935379057,2127158.7642705278,2454369.356152826,2459312.440148281,1569595.360500056,1559059.5309859652,1399010.1018363405,1375179.1282425562,1337610.6100985033,1512619.0287651774,1505311.8516939085,1344412.5265566872,1356470.7955874254,1324446.4763172886
7,2607741.6025351416,2622250.6063526804,2612241.609326132,2628065.812755845,2522878.6658769995,2545401.433347769,2196526.89905076,2181806.1363580176,2425338.4828971894,2425439.7745794877,1573232.2014594956,1588044.1453669223,1317174.869932437,1520557.2384023722,1428450.083555265,1510639.3585298273,1527825.4982513883,1264897.2030316982,1463395.6189239365,1395704.9849150323
8,2610632.5970051996,2627867.8403729703,2611971.878552005,2631331.367866094,2536556.024184364,2564787.036729008,2132961.2092064954,2119530.951997903,2432952.4343269374,2438173.422374188,1556189.1357845995,1587242.674232427,1342393.6470648816,1549274.3289872683,1405327.8128805675,1500031.22137443,1535000.9613806955,1297439.321141122,1496313.2766209221,1376492.3996321107
9,2614905.8720542397,2631215.289613514,2612461.9533810155,2632607.513841718,2568834.5805450417,2593670.4027714445,2207261.8031595508,2183244.9983282425,2440961.643581054,2440884.9184183404,1553982.969466227,1582793.231444571,1354188.7006176354,1458014.7484545235,1380084.0135308804,1500276.7398816915,1530306.8874638258,1301978.978775121,1402367.6774161013,1350274.6754063533
10,2609746.3450987907,2629567.9117143704,2617080.152898254,2637002.228824757,2560384.529766489,2589797.283107329,2234782.2230427777,2213807.0596523876,2398048.396613431,2389838.612447337,1549971.916811446,1570333.8998661938,1344315.3005100773,1462660.9068617048,1518969.4143701547,1498285.113272703,1521302.3025641902,1295674.8509029485,1414418.0216748244,1457171.9763185107
