,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2647112.175922629,2647112.175922629,2647582.806838802,2647582.806838802,2569700.8234812175,2569700.8234812175,2278444.2536246534,2278444.2536246534,2426391.0047395406,2426391.0047395406,1615154.345457321,1617854.5865177575,1152783.9791117643,1493582.4981489964,1303562.5837120921,1615154.345457321,1617854.5865177575,1152783.9791117643,1493582.4981489964,1303562.5837120921
1,2641875.6445803503,2641875.6445803503,2645937.630712768,2645937.630712768,2508676.297221751,2508676.297221751,2214819.237584236,2214819.237584236,2401537.8776295884,2401537.8776295884,1649458.02177184,1637809.9502641098,1273589.6695926713,1555492.1004274138,1395253.667541036,1649458.02177184,1637809.9502641098,1273589.6695926713,1555492.1004274138,1395253.667541036
2,2654604.4326680014,2654604.4326680014,2649685.9999994626,2649685.9999994626,2526904.8245663415,2526904.8245663415,2096695.7114710798,2096695.7114710798,2401661.2748383926,2401661.2748383926,1608510.358827107,1638689.0909370293,1458896.4506136614,1598271.278055008,1388171.0632801673,1608510.358827107,1638689.0909370293,1458896.4506136614,1598271.278055008,1388171.0632801673
3,2647451.145272555,2647451.145272555,2649187.5530431927,2649187.5530431927,2531165.9668384697,2531165.9668384697,2006206.885465255,2006206.885465255,2374432.671207659,2374432.671207659,1617158.00464158,1619602.0473388091,1446408.3636444218,1559627.7110512967,1454845.4345321695,1617158.00464158,1619602.0473388091,1446408.3636444218,1559627.7110512967,1454845.4345321695
4,2642899.57378787,2642899.57378787,2648311.8452603705,2648311.8452603705,2530462.462528197,2530462.462528197,2281573.795894323,2281573.795894323,2405056.2446970353,2405056.2446970353,1633797.098399308,1634849.15669503,1237948.0074415605,1579824.3535580637,1356427.9684431653,1633797.098399308,1634849.15669503,1237948.0074415605,1579824.3535580637,1356427.9684431653
5,2656726.8828298203,2656726.8828298203,2645838.8424709197,2645838.8424709197,2580966.626905073,2580966.626905073,2171278.0550419884,2171278.0550419884,2372896.287120275,2372896.287120275,1599517.1634302821,1645691.653334826,1263826.2925088373,1420743.392292465,1433925.0955442658,1599517.1634302821,1645691.653334826,1263826.2925088373,1420743.392292465,1433925.0955442658
6,2641687.108804256,2641687.108804256,2649514.3917406835,2649514.3917406835,2601828.691329426,2601828.691329426,2071892.9190096874,2071892.9190096874,2423939.4512878307,2423939.4512878307,1633261.2238342061,1621358.383151091,1405838.617253958,1390571.8010463084,1330842.5627903368,1633261.2238342061,1621358.383151091,1405838.617253958,1390571.8010463084,1330842.5627903368
7,2641285.2766830614,2641285.2766830614,2646174.868120155,2646174.868120155,2511680.884249494,2511680.884249494,2145359.657494879,2145359.657494879,2380090.426569302,2380090.426569302,1631646.4447934392,1646810.8467339794,1291517.7669929864,1560406.11599006,1448561.8887653814,1631646.4447934392,1646810.8467339794,1291517.7669929864,1560406.11599006,1448561.8887653814
8,2647022.875539862,2647022.875539862,2648395.88025836,2648395.88025836,2531316.9988380736,2531316.9988380736,2066157.4679882382,2066157.4679882382,2392165.41143559,2392165.41143559,1617891.3815370814,1643789.9550960409,1338809.5985242692,1586229.7718415086,1407762.3794434466,1617891.3815370814,1643789.9550960409,1338809.5985242692,1586229.7718415086,1407762.3794434466
9,2652361.1154881325,2652361.1154881325,2647091.4966838234,2647091.4966838234,2560656.6484354353,2560656.6484354353,2147554.4037203994,2147554.4037203994,2399340.717776563,2399340.717776563,1617443.8950422152,1642282.0601662393,1344238.6394848996,1480774.4118962877,1375441.057517996,1617443.8950422152,1642282.0601662393,1344238.6394848996,1480774.4118962877,1375441.057517996
10,2650138.668288037,2650138.668288037,2651367.7143221498,2651367.7143221498,2556670.2281920086,2556670.2281920086,2170887.8055047193,2170887.8055047193,2341651.074545724,2341651.074545724,1609015.1272046946,1624936.6510401496,1334239.774755308,1480191.6740085604,1535878.638856357,1609015.1272046946,1624936.6510401496,1334239.774755308,1480191.6740085604,1535878.638856357
11,2641028.875649622,2641028.875649622,2645546.943592052,2645546.943592052,2556730.4820452384,2556730.4820452384,2285262.4933023695,2285262.4933023695,2400256.8737329645,2400256.8737329645,1633662.6202374313,1631257.0172870967,1188456.8265975,1487980.9458882948,1390939.2331137373,1633662.6202374313,1631257.0172870967,1188456.8265975,1487980.9458882948,1390939.2331137373
12,2642125.1030603326,2642125.1030603326,2646278.631277171,2646278.631277171,2519892.8696727636,2519892.8696727636,2288336.995407109,2288336.995407109,2389588.344241986,2389588.344241986,1637531.4030942905,1638779.0367796745,1199941.1157806457,1544547.2900404115,1401621.515778134,1637531.4030942905,1638779.0367796745,1199941.1157806457,1544547.2900404115,1401621.515778134
